Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,4.44,4.88,4.41,4.8268379999999995,4.85,152000
2010-01-05,4.83,4.87,4.57,4.677553,4.7,218800
2010-01-06,4.7,4.74,4.56,4.578031,4.6,81100
2010-01-07,4.58,4.63,4.52,4.568079,4.59,59600
2010-01-08,4.56,4.62,4.45,4.5083660000000005,4.53,86900
2010-01-11,4.57,4.73,4.52,4.707409999999999,4.73,58300
2010-01-12,4.67,4.84,4.62,4.677553,4.7,45400
2010-01-13,4.73,4.88,4.65,4.816885,4.84,83600
2010-01-14,4.8,4.87,4.73,4.737267,4.76,163500
2010-01-15,4.8,4.82,4.42,4.428747,4.45,136000
2010-01-19,4.48,4.68,4.43,4.578031,4.6,91500
2010-01-20,4.54,4.56,4.47,4.4685559999999995,4.49,40000
2010-01-21,4.49,4.56,4.39,4.369034,4.39,196200
2010-01-22,4.37,4.47,4.35,4.378986,4.4,51300
2010-01-25,4.5,4.5,4.4,4.388938,4.41,27700
2010-01-26,4.4,4.48,4.35,4.339176999999999,4.36,27400
2010-01-27,4.29,4.43,4.25,4.388938,4.41,66800
2010-01-28,4.37,4.37,4.27,4.289416,4.31,135800
2010-01-29,4.34,4.46,4.28,4.279464,4.3,86400
2010-02-01,4.31,4.41,4.3,4.319273,4.34,31600
2010-02-02,4.33,4.35,4.29,4.289416,4.31,38500
2010-02-03,4.3,4.3,4.09,4.110276,4.13,89000
2010-02-04,4.1,4.18,3.94,3.9609919999999996,3.98,95300
2010-02-05,4.0,4.05,3.97,4.030658,4.05,45000
2010-02-08,4.04,4.07,3.97,3.980897,4.0,23600
2010-02-09,4.04,4.04,3.97,3.980897,4.0,54200
2010-02-10,3.96,4.02,3.95,3.990849,4.01,29600
2010-02-11,3.98,4.08,3.95,4.030658,4.05,85000
2010-02-12,3.98,4.04,3.95,3.931136,3.95,84700
2010-02-16,4.01,4.23,4.01,4.179941,4.2,57500
2010-02-17,4.23,4.23,4.15,4.179941,4.2,27000
2010-02-18,4.19,4.22,4.11,4.140132,4.16,26100
2010-02-19,4.16,4.21,4.09,4.150085,4.17,30500
2010-02-22,4.17,4.23,4.13,4.179941,4.2,23600
2010-02-23,4.23,4.31,4.02,4.229702,4.25,127500
2010-02-24,4.26,4.35,4.21,4.319273,4.34,38600
2010-02-25,4.24,4.35,4.19,4.329225,4.35,30200
2010-02-26,4.36,4.48,4.26,4.249608,4.27,54000
2010-03-01,4.33,4.64,4.31,4.478508000000001,4.5,106800
2010-03-02,4.5,4.59,4.44,4.558126000000001,4.58,136700
2010-03-03,4.57,4.58,4.52,4.548175,4.57,36400
2010-03-04,4.56,4.56,4.45,4.478508000000001,4.5,40300
2010-03-05,4.53,4.65,4.43,4.61784,4.64,40500
2010-03-08,4.63,4.63,4.51,4.578031,4.6,24100
2010-03-09,4.57,4.63,4.55,4.597936,4.62,24200
2010-03-10,4.61,4.63,4.47,4.478508000000001,4.5,34000
2010-03-11,4.44,4.51,4.31,4.488461,4.51,73700
2010-03-12,4.47,4.76,4.43,4.607888,4.63,91100
2010-03-15,4.63,4.64,4.5,4.587984,4.61,103000
2010-03-16,4.64,4.86,4.55,4.8268379999999995,4.85,168500
2010-03-17,4.84,4.89,4.74,4.7173620000000005,4.74,60200
2010-03-18,4.78,4.81,4.58,4.647697,4.67,45400
2010-03-19,4.8,4.85,4.54,4.777076,4.8,151500
2010-03-22,4.74,4.91,4.64,4.757172,4.78,92500
2010-03-23,4.78,4.92,4.78,4.846742,4.87,114900
2010-03-24,4.85,5.07,4.85,5.025882,5.05,119700
2010-03-25,5.11,5.25,5.03,5.0358339999999995,5.06,93600
