Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,8.24,8.36,8.12,4.507231,8.36,39800.0
2010-01-05,8.36,8.44,8.26,4.453317,8.26,33500.0
2010-01-06,8.27,8.35,8.25,4.447927,8.25,27900.0
2010-01-07,8.3,8.37,8.26,4.469493,8.29,25200.0
2010-01-08,8.33,8.46,8.3,4.5449720000000005,8.43,61300.0
2010-01-11,8.49,8.57,8.41,4.6096699999999995,8.55,19600.0
2010-01-12,8.42,8.58,8.42,4.6096699999999995,8.55,23000.0
2010-01-13,8.62,8.68,8.58,4.647408,8.62,6800.0
2010-01-14,8.54,8.69,8.54,4.685149,8.69,17200.0
2010-01-15,8.58,8.7,8.52,4.625842,8.58,40900.0
2010-01-19,8.62,8.76,8.58,4.722889,8.76,21100.0
2010-01-20,8.75,8.75,8.64,4.721801999999999,8.7,8900.0
2010-01-21,8.7,8.71,8.6,4.667530999999999,8.6,24900.0
2010-01-22,8.6,8.63,8.46,4.618683,8.51,34500.0
2010-01-25,8.5,8.6,8.5,4.624112,8.52,28300.0
2010-01-26,8.43,8.54,8.43,4.624112,8.52,14100.0
2010-01-27,8.51,8.51,8.45,4.602399,8.48,17500.0
2010-01-28,8.49,8.49,8.41,4.580693,8.44,10400.0
2010-01-29,8.4,8.48,8.2,4.520993,8.33,31700.0
2010-02-01,8.3,8.51,8.22,4.5101379999999995,8.31,44800.0
2010-02-02,8.42,8.5,8.27,4.586119999999999,8.45,30400.0
2010-02-03,8.49,8.59,8.46,4.62954,8.53,37900.0
2010-02-04,8.55,8.55,8.21,4.461289,8.22,34800.0
2010-02-05,8.16,8.21,7.81,4.369024,8.05,63300.0
2010-02-08,7.98,8.16,7.98,4.37988,8.07,13700.0
2010-02-09,8.14,8.26,8.1,4.407015,8.12,15700.0
2010-02-10,8.11,8.38,8.11,4.515562,8.32,17600.0
2010-02-11,8.34,8.5,8.34,4.607829,8.49,21700.0
2010-02-12,8.4,8.81,8.4,4.640391999999999,8.55,29900.0
2010-02-16,8.62,8.88,8.6,4.748938,8.75,56500.0
2010-02-17,8.75,8.88,8.73,4.791555000000001,8.77,33100.0
2010-02-18,8.62,8.85,8.58,4.76424,8.72,29700.0
2010-02-19,8.62,9.09,8.62,4.868046,8.91,26500.0
2010-02-22,9.02,9.15,8.63,4.75331,8.7,34100.0
2010-02-23,8.61,8.85,8.61,4.736919,8.67,13300.0
2010-02-24,8.78,8.94,8.63,4.878973,8.93,32000.0
2010-02-25,8.99,8.99,8.72,4.7751660000000005,8.74,39200.0
2010-02-26,8.82,8.92,8.77,4.840726,8.86,15100.0
2010-03-01,8.93,9.05,8.9,4.900827,8.97,20900.0
2010-03-02,9.06,9.15,8.79,4.949998,9.06,28900.0
2010-03-03,9.03,9.12,9.03,4.9390730000000005,9.04,19300.0
2010-03-04,9.09,9.09,8.75,4.818874,8.82,36900.0
2010-03-05,8.81,8.81,8.73,4.780628,8.75,33900.0
2010-03-08,8.68,8.88,8.68,4.818874,8.82,11300.0
2010-03-09,8.81,8.89,8.73,4.7751660000000005,8.74,19600.0
2010-03-10,8.68,8.81,8.64,4.75331,8.7,53300.0
2010-03-11,8.75,8.76,8.58,4.736919,8.67,33100.0
2010-03-12,8.68,8.76,8.61,4.75331,8.7,46400.0
2010-03-15,8.7,8.84,8.7,4.829801,8.84,19600.0
2010-03-16,8.86,8.96,8.86,4.8899,8.95,16700.0
2010-03-17,9.47,9.64,9.26,5.261424,9.63,272300.0
2010-03-18,9.68,9.9,9.61,5.316057,9.73,137100.0
2010-03-19,9.96,9.96,9.73,5.441722,9.96,114600.0
2010-03-22,9.97,9.97,9.7,5.40765,9.84,95400.0
2010-03-23,9.9,10.25,9.9,5.534048,10.07,83700.0
2010-03-24,10.0,10.15,9.86,5.44062,9.9,65900.0
2010-03-25,10.11,10.18,9.88,5.4681,9.95,59500.0
2010-03-26,10.11,10.12,9.92,5.451615,9.92,72300.0
2010-03-29,9.93,9.97,9.9,5.462604,9.94,18900.0
2010-03-30,10.0,10.03,9.85,5.44062,9.9,31200.0
2010-03-31,9.95,10.0,9.86,5.4681,9.95,24500.0
2010-04-01,10.0,10.01,9.95,5.501073,10.01,22300.0
2010-04-05,9.97,9.99,9.9,5.44062,9.9,35700.0
