Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,13.63,13.67,13.56,8.524756,13.58,502300
2010-01-05,13.63,13.63,13.57,8.556144,13.63,501600
2010-01-06,13.68,13.7,13.6,8.537313000000001,13.6,539800
2010-01-07,13.61,13.65,13.6,8.568700999999999,13.65,538700
2010-01-08,13.66,13.66,13.62,8.562422,13.64,456100
2010-01-11,13.65,13.69,13.62,8.593809,13.69,527600
2010-01-12,13.68,13.7,13.66,8.587532000000001,13.68,366800
2010-01-13,13.69,13.73,13.68,8.612638,13.72,447800
2010-01-14,13.74,13.78,13.71,8.637751,13.76,502900
2010-01-15,13.62,13.71,13.62,8.637751,13.68,452300
2010-01-19,13.68,13.7,13.63,8.637751,13.68,633100
2010-01-20,13.69,13.7,13.65,8.644065,13.69,530000
2010-01-21,13.71,13.71,13.62,8.625123,13.66,456100
2010-01-22,13.66,13.66,13.54,8.568294999999999,13.57,501800
2010-01-25,13.56,13.61,13.54,8.580922,13.59,421700
2010-01-26,13.54,13.62,13.53,8.587236,13.6,371500
2010-01-27,13.61,13.61,13.55,8.580922,13.59,356900
2010-01-28,13.62,13.62,13.54,8.568294999999999,13.57,429900
2010-01-29,13.62,13.63,13.48,8.524094,13.5,414500
2010-02-01,13.53,13.62,13.51,8.599869,13.62,552200
2010-02-02,13.63,13.68,13.6,8.631437,13.67,563400
2010-02-03,13.68,13.69,13.65,8.637751,13.68,419200
2010-02-04,13.61,13.68,13.59,8.593551,13.61,382200
2010-02-05,13.59,13.62,13.45,8.549353,13.54,492600
2010-02-08,13.46,13.56,13.46,8.543039,13.53,370400
2010-02-09,13.55,13.6,13.48,8.580922,13.59,462100
2010-02-10,13.62,13.65,13.55,8.612495,13.64,417600
2010-02-11,13.65,13.66,13.62,8.618808999999999,13.65,477500
2010-02-12,13.51,13.59,13.5,8.630241,13.59,275500
2010-02-16,13.66,13.67,13.58,8.674693,13.66,458400
2010-02-17,13.66,13.71,13.63,8.706444,13.71,522500
2010-02-18,13.71,13.77,13.68,8.725497,13.74,349200
2010-02-19,13.73,13.75,13.68,8.731846,13.75,443000
2010-02-22,13.77,13.79,13.69,8.700096,13.7,849900
2010-02-23,13.68,13.74,13.66,8.706444,13.71,455100
2010-02-24,13.76,13.78,13.71,8.750896000000001,13.78,402400
2010-02-25,13.73,13.8,13.73,8.757251,13.79,496500
2010-02-26,13.82,13.84,13.79,8.788997,13.84,390500
2010-03-01,13.87,13.87,13.83,8.801698,13.86,450400
2010-03-02,13.9,13.93,13.86,8.846153,13.93,763300
2010-03-03,13.95,13.95,13.89,8.833454,13.91,368900
2010-03-04,13.93,13.96,13.88,8.852502000000001,13.94,534600
2010-03-05,13.97,14.0,13.94,8.884259,13.99,1220200
2010-03-08,14.01,14.02,13.99,8.890606,14.0,552500
2010-03-09,14.01,14.03,13.99,8.909658,14.03,508600
2010-03-10,14.04,14.08,13.99,8.903307,14.02,509600
2010-03-11,14.03,14.05,13.99,8.922359,14.05,501700
2010-03-12,14.07,14.09,14.03,8.947761999999999,14.09,627500
2010-03-15,14.01,14.01,13.97,8.933074000000001,13.99,434600
2010-03-16,14.05,14.05,14.0,8.958611999999999,14.03,514600
2010-03-17,14.04,14.08,14.04,8.984159,14.07,538700
2010-03-18,14.09,14.09,14.05,8.984159,14.07,474600
2010-03-19,14.03,14.1,13.99,8.958611999999999,14.03,605300
2010-03-22,14.03,14.06,13.97,8.965003999999999,14.04,390200
2010-03-23,14.06,14.08,14.03,8.990542,14.08,511500
2010-03-24,14.07,14.07,14.03,8.971388000000001,14.05,420800
2010-03-25,14.06,14.07,14.03,8.958611999999999,14.03,533600
2010-03-26,14.05,14.06,13.97,8.945844000000001,14.01,566600
2010-03-29,14.04,14.05,13.98,8.945844000000001,14.01,489200
2010-03-30,14.01,14.02,13.98,8.945844000000001,14.01,330000
2010-03-31,14.02,14.02,13.93,8.907537,13.95,420200
2010-04-01,13.96,13.98,13.9,8.894765,13.93,592600
2010-04-05,13.92,13.97,13.89,8.881991000000001,13.91,392500
2010-04-06,13.93,13.93,13.9,8.894765,13.93,478600
2010-04-07,13.93,13.94,13.87,8.869224,13.89,617500
2010-04-08,13.86,13.91,13.84,8.881991000000001,13.91,411200
2010-04-09,13.92,13.93,13.9,8.894765,13.93,394900
2010-04-12,13.94,13.94,13.91,8.894765,13.93,343000
2010-04-13,13.95,13.95,13.92,8.901149,13.94,584000
