Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,11.03,11.03,9.78,4.081831,10.22,5191900.0
2010-01-05,10.23,11.0,10.23,4.365403,10.93,2000300.0
2010-01-06,10.96,11.48,10.96,4.549124,11.39,1412900.0
2010-01-07,11.39,11.48,11.27,4.53315,11.35,927000.0
2010-01-08,11.41,11.5,11.29,4.593058999999999,11.5,540500.0
2010-01-11,11.54,11.58,11.45,4.589064,11.49,749300.0
2010-01-12,11.34,11.34,11.01,4.513172,11.18,698000.0
2010-01-13,11.13,11.33,11.12,4.517208999999999,11.19,385000.0
2010-01-14,11.27,11.3,11.13,4.537395,11.24,393300.0
2010-01-15,11.25,11.28,11.15,4.553539,11.28,431600.0
2010-01-19,11.29,11.5,11.29,4.642351000000001,11.5,518400.0
2010-01-20,11.5,11.5,11.37,4.614094000000001,11.43,647200.0
2010-01-21,11.45,11.5,11.32,4.5777589999999995,11.34,554300.0
2010-01-22,11.26,11.31,11.1,4.48895,11.12,663000.0
2010-01-25,11.19,11.31,11.13,4.561614,11.3,400000.0
2010-01-26,11.36,11.38,11.11,4.484914,11.11,540200.0
2010-01-27,11.13,11.18,11.07,4.505098,11.16,384500.0
2010-01-28,11.18,11.26,11.11,4.509136,11.17,320300.0
2010-01-29,11.15,11.26,11.12,4.521246,11.2,392200.0
2010-02-01,11.35,11.35,11.2,4.581797,11.35,431600.0
2010-02-02,11.38,11.64,11.38,4.698867,11.64,578200.0
2010-02-03,11.65,11.75,11.6,4.7351980000000005,11.73,802300.0
2010-02-04,11.73,11.73,11.44,4.622166,11.45,990000.0
2010-02-05,11.44,11.45,10.6,4.589872,11.37,1806400.0
2010-02-08,11.35,11.49,11.3,4.561614,11.3,748900.0
2010-02-09,11.26,11.38,11.21,4.619562,11.32,538900.0
2010-02-10,11.33,11.35,11.2,4.591,11.25,371600.0
2010-02-11,11.28,11.33,11.12,4.611404,11.3,388000.0
2010-02-12,11.2,11.34,11.18,4.627724,11.34,326500.0
2010-02-16,11.35,11.35,11.03,4.542026,11.13,1366700.0
2010-02-17,11.16,11.22,10.9,4.488975,11.0,956400.0
2010-02-18,11.0,11.02,10.89,4.488975,11.0,609800.0
2010-02-19,11.0,11.02,10.9,4.497136,11.02,557000.0
2010-02-22,11.07,11.1,10.95,4.47673,10.97,622900.0
2010-02-23,11.03,11.15,10.98,4.550189,11.15,496400.0
2010-02-24,11.2,11.24,11.15,4.582834,11.23,392400.0
2010-02-25,11.17,11.21,11.07,4.542026,11.13,396300.0
2010-02-26,11.11,11.12,11.04,4.537944,11.12,704000.0
2010-03-01,11.19,11.35,11.15,4.627724,11.34,673800.0
2010-03-02,11.4,11.6,11.4,4.717505,11.56,954500.0
2010-03-03,11.6,11.63,11.55,4.733827,11.6,655800.0
2010-03-04,11.6,11.65,11.56,4.746069,11.63,508400.0
2010-03-05,11.69,11.73,11.64,4.782797,11.72,449100.0
2010-03-08,11.72,11.75,11.65,4.782797,11.72,679100.0
2010-03-09,11.65,11.65,11.4,4.7093940000000005,11.42,862700.0
2010-03-10,11.43,11.54,11.4,4.746508,11.51,469100.0
2010-03-11,11.51,11.57,11.47,4.746508,11.51,328800.0
2010-03-12,11.51,11.65,11.5,4.7918709999999995,11.62,506100.0
2010-03-15,11.65,11.65,11.58,4.775374,11.58,444500.0
2010-03-16,11.65,11.65,11.59,4.8042419999999995,11.65,286500.0
2010-03-17,11.64,11.75,11.64,4.845478,11.75,332600.0
2010-03-18,11.8,11.85,11.75,4.8661,11.8,357100.0
2010-03-19,11.76,11.84,11.71,4.849605,11.76,350200.0
2010-03-22,11.75,11.9,11.71,4.8413580000000005,11.74,408000.0
2010-03-23,11.75,11.84,11.74,4.8661,11.8,558900.0
2010-03-24,11.8,11.89,11.8,4.899088,11.88,504600.0
2010-03-25,11.9,11.95,11.9,4.923836,11.94,558800.0
2010-03-26,12.02,12.02,11.9,4.915584,11.92,361800.0
2010-03-29,11.95,12.14,11.93,4.989813,12.1,656300.0
2010-03-30,12.14,12.16,12.1,5.014556,12.16,425200.0
2010-03-31,12.16,12.29,12.15,5.047546,12.24,627900.0
2010-04-01,12.3,12.39,12.23,5.068167,12.29,718400.0
2010-04-05,12.35,12.49,12.35,5.146521,12.48,893700.0
2010-04-06,12.48,12.55,12.42,5.175387000000001,12.55,744700.0
2010-04-07,12.59,12.79,12.57,5.200130000000001,12.61,852300.0
2010-04-08,12.46,12.64,12.23,5.188468,12.46,1069200.0
2010-04-09,12.5,12.67,12.5,5.255091999999999,12.62,538600.0
2010-04-12,12.63,12.85,12.6,5.309226,12.75,557800.0
2010-04-13,12.76,12.76,12.64,5.305062,12.74,580200.0
2010-04-14,12.71,12.74,12.66,5.2925699999999996,12.71,581300.0
2010-04-15,12.74,12.8,12.35,5.209288,12.51,797500.0
2010-04-16,12.51,12.54,11.45,5.08853,12.22,1756000.0
2010-04-19,11.98,12.18,11.75,5.005248,12.02,922700.0
2010-04-20,12.08,12.45,12.02,5.155155000000001,12.38,564200.0
2010-04-21,12.4,12.5,12.22,5.1634839999999995,12.4,534500.0
2010-04-22,12.27,12.41,12.27,5.146827,12.36,314200.0
2010-04-23,12.45,12.45,12.29,5.175979,12.43,317200.0
2010-04-26,12.47,12.48,12.27,5.138497,12.34,539800.0
2010-04-27,12.35,12.39,12.25,5.1135150000000005,12.28,489500.0
2010-04-28,12.26,12.38,12.26,5.142663,12.35,341100.0
2010-04-29,12.35,12.44,12.35,5.1634839999999995,12.4,433200.0
2010-04-30,12.4,12.53,12.37,5.196795,12.48,363800.0
2010-05-03,12.72,12.72,12.6,5.288409,12.7,523000.0
2010-05-04,12.68,12.68,12.35,5.159322,12.39,883500.0
2010-05-05,12.26,12.4,11.82,5.080203,12.2,930400.0
2010-05-06,12.04,12.29,9.11,4.788715,11.5,2831000.0
2010-05-07,11.8,11.9,10.71,4.847012,11.64,1635000.0
2010-05-10,12.27,12.35,12.01,5.138497,12.34,902500.0
2010-05-11,12.05,12.24,12.0,5.088871,12.1,685100.0
2010-05-12,12.15,12.2,12.11,5.114106,12.16,354900.0
2010-05-13,12.16,12.24,12.06,5.07205,12.06,319200.0
2010-05-14,12.02,12.06,11.76,5.01317,11.92,652000.0
2010-05-17,11.91,11.91,11.4,4.924852,11.71,716200.0
2010-05-18,11.82,11.92,11.45,4.8617669999999995,11.56,487100.0
2010-05-19,11.42,11.45,10.9,4.706155,11.19,1434900.0
2010-05-20,10.81,10.93,10.4,4.436993,10.55,1688100.0
2010-05-21,10.47,11.26,10.0,4.731389,11.25,1897300.0
2010-05-24,11.11,11.25,11.05,4.659894,11.08,611200.0
2010-05-25,10.78,10.96,10.25,4.5463379999999995,10.81,1264300.0
2010-05-26,11.12,11.12,10.81,4.5463379999999995,10.81,1115100.0
2010-05-27,10.99,11.15,10.86,4.689333,11.15,536200.0
2010-05-28,11.19,11.24,11.01,4.7229779999999995,11.23,506800.0
2010-06-01,11.13,11.35,11.1,4.7229779999999995,11.23,593700.0
2010-06-02,11.33,11.38,11.15,4.756623,11.31,509400.0
2010-06-03,11.34,11.47,11.34,4.811297,11.44,484800.0
2010-06-04,11.3,11.43,11.3,4.773448,11.35,450100.0
2010-06-07,11.26,11.44,11.23,4.7776510000000005,11.36,547100.0
2010-06-08,11.3,11.49,11.3,4.815504,11.45,607500.0
2010-06-09,11.39,11.39,11.25,4.790848,11.27,387800.0
