Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,14.13,14.16,14.05,12.410755,14.16,7500
2010-01-05,14.18,14.19,14.1,12.375697,14.12,23100
2010-01-06,14.16,14.87,14.15,12.401987,14.15,31600
2010-01-07,14.13,14.2,14.12,12.445815,14.2,10400
2010-01-08,14.15,14.16,14.15,12.401987,14.15,5300
2010-01-11,14.24,14.28,14.2,12.507166999999999,14.27,5200
2010-01-12,14.22,14.22,14.07,12.349402,14.09,4800
2010-01-13,14.15,14.3,14.13,12.515931,14.28,6100
2010-01-14,14.24,14.36,14.24,12.586048,14.36,5200
2010-01-15,14.17,14.17,14.12,12.393226,14.14,2400
2010-01-19,14.21,14.4,14.21,12.621106,14.4,5600
2010-01-20,14.29,14.31,14.13,12.45458,14.21,8800
2010-01-21,14.11,14.11,13.96,12.235461,13.96,16400
2010-01-22,13.84,13.92,13.63,11.946228999999999,13.63,9900
2010-01-25,13.72,13.75,13.66,11.998816,13.69,5400
2010-01-26,13.69,13.76,13.67,11.981287,13.67,7300
2010-01-27,13.62,13.63,13.5,11.946228999999999,13.63,5800
2010-01-28,13.54,13.6,13.48,11.884876,13.56,6000
2010-01-29,13.55,13.66,13.38,11.735878,13.39,17500
2010-02-01,13.42,13.62,13.42,11.928697,13.61,16700
2010-02-02,13.66,13.88,13.66,12.147817,13.86,7600
2010-02-03,13.82,13.82,13.76,12.103993,13.81,17600
2010-02-04,13.72,13.72,13.37,11.718347999999999,13.37,3900
2010-02-05,13.31,13.31,13.04,11.604407,13.24,12600
2010-02-08,13.26,13.38,13.24,11.604407,13.24,2000
2010-02-09,13.33,13.43,13.28,11.718347999999999,13.37,2800
2010-02-10,13.36,13.42,13.28,11.709585,13.36,8500
2010-02-11,13.32,13.54,13.32,11.858581,13.53,38000
2010-02-12,13.34,13.51,13.32,11.841052000000001,13.51,7900
2010-02-16,13.61,13.78,13.61,12.077697,13.78,7700
2010-02-17,13.88,13.89,13.85,12.147817,13.86,4200
2010-02-18,13.87,14.03,13.87,12.288053999999999,14.02,6900
2010-02-19,14.02,14.09,13.99,12.314345,14.05,7200
2010-02-22,14.11,14.11,14.04,12.305578,14.04,13400
2010-02-23,13.99,14.01,13.85,12.17411,13.89,5100
2010-02-24,13.86,13.88,13.86,12.147817,13.86,4200
2010-02-25,13.78,13.98,13.74,12.244226,13.97,10300
2010-02-26,13.96,14.01,13.94,12.279287,14.01,10700
2010-03-01,14.05,14.18,14.05,12.410755,14.16,41600
2010-03-02,14.25,14.28,14.25,12.507166999999999,14.27,2700
2010-03-03,14.29,14.33,14.22,12.480871,14.24,9800
2010-03-04,14.25,14.26,14.25,12.498402,14.26,1800
2010-03-05,14.39,14.45,14.39,12.647403,14.43,2000
2010-03-08,14.49,14.53,14.48,12.735046,14.53,5900
2010-03-09,14.54,14.6,14.51,12.752578999999999,14.55,6700
2010-03-10,14.55,14.62,14.55,12.796399000000001,14.6,2300
2010-03-11,14.55,14.68,14.51,12.866518,14.68,9500
2010-03-12,14.73,14.73,14.62,12.875281,14.69,8100
2010-03-15,14.68,14.68,14.58,12.831456,14.64,10500
2010-03-16,14.69,14.81,14.69,12.980458,14.81,3800
2010-03-17,14.84,14.99,14.84,13.094398,14.94,9900
2010-03-18,14.92,14.93,14.88,13.07687,14.92,6500
2010-03-19,14.79,14.82,14.79,12.962927,14.79,1900
2010-03-22,14.73,14.98,14.73,13.103162,14.95,9600
2010-03-23,15.01,15.02,14.94,13.155752,15.01,3300
2010-03-24,15.02,15.03,14.97,13.120698,14.97,4300
2010-03-25,15.01,15.07,14.96,13.155752,15.01,9200
2010-03-26,14.92,14.94,14.82,13.006753999999999,14.84,11100
2010-03-29,14.94,14.96,14.94,13.103162,14.95,800
2010-03-30,15.0,15.02,14.93,13.120698,14.97,2900
2010-03-31,14.92,14.99,14.81,12.980458,14.81,28500
2010-04-01,15.05,15.07,15.01,13.19081,15.05,13700
2010-04-05,15.11,15.22,15.11,13.331042000000002,15.21,7900
2010-04-06,15.16,15.29,15.16,13.374867000000002,15.26,6700
2010-04-07,15.25,15.26,15.14,13.287223000000001,15.16,7300
