Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,9.1,9.16,9.08,5.46087,9.16,18800.0
2010-01-05,9.21,9.25,9.2,5.490678,9.21,35300.0
2010-01-06,9.18,9.38,9.16,5.526448,9.27,56600.0
2010-01-07,9.3,9.44,9.3,5.621834,9.43,28700.0
2010-01-08,9.4,9.52,9.35,5.663568,9.5,47400.0
2010-01-11,9.55,9.58,9.48,5.67549,9.52,29000.0
2010-01-12,9.45,9.48,9.38,5.66349,9.44,22600.0
2010-01-13,9.4,9.45,9.35,5.6214949999999995,9.37,44500.0
2010-01-14,9.36,9.36,9.21,5.5854989999999995,9.31,44500.0
2010-01-15,9.29,9.3,9.23,5.567499,9.28,12800.0
2010-01-19,9.27,9.37,9.27,5.615496,9.36,28800.0
2010-01-20,9.31,9.39,9.3,5.633493,9.39,20200.0
2010-01-21,9.39,9.4,9.28,5.609496,9.35,19200.0
2010-01-22,9.34,9.35,9.27,5.561502,9.27,19800.0
2010-01-25,9.25,9.32,9.21,5.555503,9.26,24100.0
2010-01-26,9.29,9.34,9.28,5.603497,9.34,27200.0
2010-01-27,9.34,9.45,9.33,5.66349,9.44,32900.0
2010-01-28,9.44,9.44,9.33,5.609496,9.35,26600.0
2010-01-29,9.33,9.35,9.29,5.603497,9.34,33800.0
2010-02-01,9.4,9.45,9.17,5.519504,9.2,65200.0
2010-02-02,9.24,9.38,9.23,5.627494,9.38,40300.0
2010-02-03,9.34,9.47,9.33,5.633493,9.39,45900.0
2010-02-04,9.37,9.43,9.35,5.651492,9.42,46500.0
2010-02-05,9.38,9.41,9.35,5.645491000000001,9.41,24900.0
2010-02-08,9.41,9.47,9.36,5.6394910000000005,9.4,38800.0
2010-02-09,9.34,9.35,9.25,5.609304,9.29,56700.0
2010-02-10,9.26,9.33,9.26,5.633457,9.33,26200.0
2010-02-11,9.35,9.4,9.34,5.6757230000000005,9.4,24500.0
2010-02-12,9.32,9.45,9.32,5.705911,9.45,36100.0
2010-02-16,9.39,9.45,9.24,5.645534,9.35,25700.0
