Date,Open,High,Low,Close,Adj Close,Volume
2010-05-13,13.75,14.07,13.6,13.75,13.75,3341500
2010-05-14,13.52,14.0,13.45,13.85,13.85,747100
2010-05-17,13.86,14.02,13.85,14.0,14.0,245100
2010-05-18,14.02,14.15,13.92,13.92,13.92,42600
2010-05-19,13.9,14.07,13.75,14.07,14.07,64900
2010-05-20,13.91,13.99,13.25,13.91,13.91,70700
2010-05-21,14.05,14.05,13.61,13.85,13.85,129200
2010-05-24,14.0,14.04,13.92,13.95,13.95,51000
2010-05-25,13.81,13.81,13.5,13.75,13.75,218200
2010-05-26,14.05,14.05,13.73,13.9,13.9,143100
2010-05-27,14.24,14.24,13.94,14.0,14.0,119400
2010-05-28,14.04,14.05,13.55,14.04,14.04,194100
2010-06-01,13.99,14.19,13.95,13.98,13.98,117600
2010-06-02,14.1,14.1,13.83,14.01,14.01,71900
2010-06-03,14.15,14.15,13.91,14.0,14.0,22600
2010-06-04,14.05,14.05,13.81,14.0,14.0,37700
2010-06-07,13.96,14.16,13.81,13.91,13.91,22500
2010-06-08,13.96,14.06,13.45,13.49,13.49,133800
2010-06-09,13.58,13.84,13.46,13.49,13.49,22900
2010-06-10,13.96,13.96,13.59,13.7,13.7,48200
2010-06-11,13.75,13.9,13.7,13.74,13.74,6300
2010-06-14,13.79,14.0,13.76,13.8,13.8,55300
2010-06-15,13.85,13.95,13.75,13.88,13.88,176600
2010-06-16,13.97,14.0,13.78,13.92,13.92,241500
2010-06-17,13.8,13.99,13.7,13.8,13.8,66100
2010-06-18,13.7,14.09,13.7,14.05,14.05,230900
2010-06-21,14.17,14.24,13.99,14.16,14.16,129200
2010-06-22,14.37,14.47,13.94,14.2,14.2,202700
2010-06-23,14.28,14.46,13.98,14.38,14.38,164100
2010-06-24,14.4,14.47,14.19,14.22,14.22,37000
2010-06-25,14.2,14.36,14.1,14.23,14.23,685400
2010-06-28,14.11,14.2,13.99,14.14,14.14,28800
2010-06-29,13.95,14.19,13.91,14.05,14.05,37200
2010-06-30,14.08,14.4,14.05,14.21,14.21,124000
2010-07-01,14.19,14.3,13.93,14.09,14.09,39900
