Date,Open,High,Low,Close,Adj Close,Volume
2014-05-23,4.0,4.57,4.0,4.49,4.49,1125600
2014-05-27,4.49,4.87,4.32,4.46,4.46,218000
2014-05-28,4.6,4.9,4.6,4.75,4.75,105300
2014-05-29,4.8,4.95,4.7,4.8,4.8,57600
2014-05-30,4.7,4.79,4.6,4.7,4.7,78100
2014-06-02,4.7,5.4,4.7,5.25,5.25,244300
2014-06-03,5.48,6.45,5.31,5.8,5.8,367300
2014-06-04,6.0,6.2,5.85,6.05,6.05,175000
2014-06-05,6.37,6.95,6.1,6.47,6.47,251600
2014-06-06,6.54,6.65,6.11,6.22,6.22,268500
2014-06-09,6.1,6.38,6.1,6.38,6.38,55500
2014-06-10,6.65,6.65,6.13,6.26,6.26,60600
2014-06-11,6.3,6.4,6.28,6.33,6.33,25700
2014-06-12,6.33,6.5,5.92,6.35,6.35,110200
2014-06-13,6.3,6.37,5.7,6.07,6.07,186500
2014-06-16,6.3,6.3,5.61,5.74,5.74,76000
2014-06-17,5.75,5.83,5.7,5.7,5.7,73400
2014-06-18,5.75,5.85,5.39,5.67,5.67,161700
2014-06-19,5.65,5.9,5.6,5.86,5.86,112000
2014-06-20,5.75,5.92,5.7,5.87,5.87,24800
2014-06-23,5.95,6.1,5.95,6.05,6.05,63200
2014-06-24,6.1,6.75,6.09,6.35,6.35,450100
2014-06-25,6.19,6.85,6.18,6.82,6.82,215700
2014-06-26,6.95,6.95,6.5,6.68,6.68,83600
2014-06-27,6.65,6.75,6.4,6.6,6.6,60600
2014-06-30,6.55,6.61,6.25,6.51,6.51,83000
2014-07-01,6.5,6.5,6.25,6.49,6.49,33000
2014-07-02,6.39,6.5,6.32,6.43,6.43,30400
2014-07-03,6.4,6.41,6.3,6.4,6.4,20100
2014-07-07,6.3,6.55,6.3,6.55,6.55,57800
2014-07-08,6.65,6.65,6.0,6.5,6.5,102600
2014-07-09,6.51,6.51,6.14,6.2,6.2,26800
2014-07-10,6.2,6.45,6.1,6.12,6.12,49300
2014-07-11,6.15,6.15,5.8,6.05,6.05,75100
2014-07-14,6.09,6.09,5.4,5.82,5.82,69200
2014-07-15,5.81,5.84,5.68,5.7,5.7,22500
2014-07-16,5.67,5.85,5.66,5.75,5.75,8700
2014-07-17,5.7,5.9,5.7,5.85,5.85,17800
2014-07-18,6.0,6.08,5.81,5.9,5.9,27200
2014-07-21,5.92,6.46,5.92,6.26,6.26,73600
2014-07-22,6.27,6.45,6.22,6.34,6.34,53700
2014-07-23,6.45,6.47,6.35,6.41,6.41,24200
2014-07-24,6.47,6.47,6.16,6.34,6.34,42700
2014-07-25,6.27,6.32,6.19,6.2,6.2,34100
2014-07-28,6.3,6.32,6.21,6.3,6.3,25600
2014-07-29,6.38,6.4,6.15,6.2,6.2,16500
2014-07-30,6.28,6.28,6.1,6.22,6.22,7600
2014-07-31,6.02,6.3,6.02,6.22,6.22,5100
2014-08-01,6.17,6.17,6.02,6.04,6.04,10200
2014-08-04,6.08,6.08,5.8,5.8,5.8,23900
2014-08-05,5.85,5.85,5.66,5.75,5.75,51800
2014-08-06,5.7,5.85,5.7,5.82,5.82,36400
2014-08-07,5.76,5.79,5.56,5.75,5.75,8700
2014-08-08,5.66,5.81,5.58,5.72,5.72,23600
2014-08-11,5.92,6.03,5.83,5.99,5.99,19400
2014-08-12,5.98,6.0,5.92,5.95,5.95,5800
2014-08-13,5.93,6.03,5.91,5.91,5.91,3700
2014-08-14,5.95,6.24,5.9,6.24,6.24,16800
2014-08-15,6.54,6.54,6.17,6.35,6.35,37300
2014-08-18,6.39,6.4,6.15,6.25,6.25,29900
2014-08-19,6.25,6.35,6.08,6.18,6.18,41700
2014-08-20,6.13,6.19,6.13,6.18,6.18,2700
2014-08-21,6.07,6.14,5.79,5.92,5.92,35200
2014-08-22,5.88,5.91,5.63,5.77,5.77,35500
2014-08-25,5.76,5.88,5.67,5.75,5.75,45000
2014-08-26,5.73,6.12,5.67,6.08,6.08,113800
2014-08-27,6.09,6.15,5.89,6.01,6.01,23000
2014-08-28,6.0,6.11,6.0,6.05,6.05,31600
2014-08-29,6.05,6.39,6.05,6.2,6.2,54200
2014-09-02,6.17,6.27,6.14,6.19,6.19,48700
2014-09-03,6.3,6.39,6.18,6.19,6.19,33800
2014-09-04,6.13,6.23,6.0,6.0,6.0,33400
2014-09-05,6.01,6.04,5.91,6.01,6.01,18800
2014-09-08,5.97,6.45,5.97,6.45,6.45,30600
2014-09-09,6.45,6.45,6.23,6.37,6.37,31400
2014-09-10,6.4,7.24,6.3,7.06,7.06,102300
2014-09-11,7.03,7.44,6.63,6.96,6.96,72800
2014-09-12,6.94,7.24,6.85,7.14,7.14,44000
2014-09-15,7.06,7.23,6.85,7.19,7.19,28500
2014-09-16,7.2,7.7,7.05,7.32,7.32,90000
2014-09-17,7.5,7.5,6.99,7.18,7.18,53300
2014-09-18,7.15,7.25,6.6,7.12,7.12,39200
2014-09-19,7.0,7.29,6.44,6.73,6.73,81600
2014-09-22,6.7,6.7,6.4,6.6,6.6,34300
2014-09-23,6.48,6.74,6.41,6.67,6.67,18700
2014-09-24,6.67,6.72,6.49,6.49,6.49,17000
2014-09-25,6.73,6.73,6.2,6.4,6.4,43000
2014-09-26,6.37,6.55,6.13,6.23,6.23,18200
2014-09-29,6.2,6.49,6.11,6.44,6.44,14400
2014-09-30,6.52,6.52,5.95,6.28,6.28,34600
2014-10-01,6.25,6.28,6.0,6.04,6.04,22900
2014-10-02,6.01,6.17,5.5,6.0,6.0,74500
2014-10-03,6.15,6.26,6.01,6.03,6.03,28600
2014-10-06,6.09,6.09,5.79,6.0,6.0,14200
2014-10-07,5.94,6.0,5.51,5.64,5.64,58600
2014-10-08,5.6,5.6,5.13,5.32,5.32,47600
2014-10-09,5.2,5.29,5.05,5.09,5.09,34500
2014-10-10,5.08,5.18,4.61,4.95,4.95,43700
2014-10-13,4.95,4.95,4.26,4.5,4.5,48300
2014-10-14,4.39,4.82,3.85,4.51,4.51,151800
2014-10-15,4.6,5.0,4.46,5.0,5.0,72800
2014-10-16,4.6,5.05,4.59,5.0,5.0,61100
2014-10-17,4.85,4.97,4.61,4.85,4.85,15100
2014-10-20,4.85,4.97,4.72,4.9,4.9,19900
2014-10-21,4.85,5.3,4.85,5.3,5.3,907900
2014-10-22,5.2,5.22,5.1,5.15,5.15,3500
2014-10-23,5.15,5.2,4.99,5.15,5.15,2400
2014-10-24,5.06,5.11,5.0,5.06,5.06,4800
2014-10-27,5.1,5.16,5.01,5.13,5.13,16400
2014-10-28,5.12,5.21,5.09,5.21,5.21,1900
2014-10-29,5.2,5.94,5.04,5.94,5.94,41900
2014-10-30,5.92,5.92,5.45,5.55,5.55,19700
2014-10-31,5.54,5.54,5.3,5.48,5.48,3200
2014-11-03,5.54,6.23,5.3,5.84,5.84,36500
2014-11-04,5.46,5.72,5.31,5.32,5.32,30000
2014-11-05,5.35,5.57,5.3,5.57,5.57,25000
2014-11-06,5.4,5.49,5.11,5.31,5.31,8000
2014-11-07,5.3,5.55,5.29,5.45,5.45,16100
2014-11-10,5.46,5.55,5.33,5.51,5.51,39400
2014-11-11,5.45,5.57,5.29,5.57,5.57,2500
2014-11-12,5.46,5.46,4.95,4.96,4.96,44500
2014-11-13,5.03,5.25,4.95,5.25,5.25,33800
2014-11-14,5.36,5.54,5.21,5.3,5.3,16900
2014-11-17,5.29,5.36,5.22,5.35,5.35,60200
2014-11-18,5.36,5.49,5.3,5.45,5.45,11400
2014-11-19,5.49,5.75,5.45,5.72,5.72,24000
2014-11-20,5.62,5.7,5.5,5.69,5.69,11300
2014-11-21,5.65,5.77,5.37,5.76,5.76,5500
2014-11-24,5.68,5.74,5.55,5.69,5.69,8900
2014-11-25,5.65,5.74,5.55,5.74,5.74,2000
2014-11-26,5.64,5.64,5.42,5.56,5.56,12500
2014-11-28,5.44,5.44,4.66,5.09,5.09,35900
2014-12-01,4.98,4.98,4.35,4.39,4.39,48600
2014-12-02,4.3,4.64,4.1,4.64,4.64,24700
2014-12-03,4.37,4.87,4.22,4.35,4.35,22600
2014-12-04,4.41,4.63,4.41,4.63,4.63,10500
2014-12-05,4.6,4.8,4.6,4.69,4.69,12100
2014-12-08,4.61,4.8,4.43,4.79,4.79,8000
2014-12-09,4.77,4.77,4.63,4.69,4.69,7300
2014-12-10,4.79,4.79,4.35,4.47,4.47,7700
2014-12-11,4.44,4.59,4.29,4.59,4.59,12900
2014-12-12,4.55,4.59,4.25,4.26,4.26,8000
2014-12-15,4.25,4.4,3.92,4.09,4.09,33500
2014-12-16,4.0,4.0,3.55,3.55,3.55,24700
2014-12-17,3.69,3.99,3.69,3.91,3.91,19700
2014-12-18,4.0,4.05,3.9,4.0,4.0,31300
2014-12-19,4.0,4.15,4.0,4.09,4.09,23800
2014-12-22,4.1,4.14,3.93,3.95,3.95,28000
2014-12-23,4.0,4.2,4.0,4.15,4.15,38100
2014-12-24,4.1,4.3,4.1,4.28,4.28,2800
2014-12-26,4.22,4.3,4.09,4.09,4.09,8500
2014-12-29,4.18,4.19,4.15,4.15,4.15,2900
2014-12-30,4.15,4.3,4.0,4.15,4.15,10500
2014-12-31,4.22,4.22,3.98,4.16,4.16,28900
2015-01-02,4.24,4.25,4.05,4.2,4.2,5500
2015-01-05,4.27,4.27,3.95,3.96,3.96,17000
2015-01-06,3.97,4.04,3.8,3.98,3.98,23200
2015-01-07,4.04,4.06,3.86,4.0,4.0,6800
2015-01-08,4.07,4.07,3.83,3.91,3.91,14100
2015-01-09,3.92,3.92,3.62,3.69,3.69,64800
2015-01-12,3.7,3.7,3.52,3.65,3.65,10300
2015-01-13,3.69,3.73,3.55,3.61,3.61,41300
2015-01-14,3.5,3.7,3.5,3.66,3.66,15300
2015-01-15,3.73,3.73,3.5,3.55,3.55,28700
2015-01-16,3.63,3.64,3.42,3.51,3.51,12100
2015-01-20,3.55,3.89,3.39,3.42,3.42,53200
2015-01-21,3.56,3.59,3.37,3.47,3.47,20000
2015-01-22,3.4,3.51,3.4,3.46,3.46,17200
2015-01-23,3.4,3.53,3.21,3.3,3.3,28100
2015-01-26,3.26,3.53,3.26,3.4,3.4,23700
2015-01-27,3.33,3.65,3.21,3.62,3.62,47600
2015-01-28,3.6,3.68,3.32,3.54,3.54,15000
2015-01-29,3.73,3.78,3.41,3.54,3.54,30000
2015-01-30,3.45,3.58,3.39,3.52,3.52,7900
2015-02-02,3.4,3.51,3.18,3.3,3.3,17200
2015-02-03,3.4,3.72,3.26,3.6,3.6,7400
2015-02-04,3.7,3.71,3.55,3.71,3.71,29700
2015-02-05,3.68,3.84,3.55,3.75,3.75,24500
2015-02-06,3.7,3.74,3.6,3.68,3.68,7400
2015-02-09,3.61,3.66,3.34,3.42,3.42,41000
2015-02-10,3.5,3.55,3.27,3.4,3.4,26600
2015-02-11,3.43,3.43,3.26,3.43,3.43,3400
2015-02-12,3.44,3.44,3.28,3.33,3.33,3400
2015-02-13,3.24,3.27,3.18,3.25,3.25,13800
2015-02-17,3.29,3.37,3.18,3.37,3.37,21600
2015-02-18,3.38,3.38,3.26,3.28,3.28,7900
2015-02-19,3.35,3.6,3.25,3.6,3.6,35800
2015-02-20,3.6,3.6,3.52,3.59,3.59,4900
2015-02-23,3.5,3.5,3.29,3.33,3.33,10300
2015-02-24,3.45,3.45,3.01,3.02,3.02,53200
2015-02-25,3.01,3.11,2.82,3.07,3.07,63900
2015-02-26,3.08,3.08,2.83,2.94,2.94,32100
2015-02-27,2.93,3.1,2.93,3.01,3.01,11900
2015-03-02,3.09,3.13,3.04,3.12,3.12,9600
2015-03-03,3.07,3.1,2.98,2.98,2.98,11800
2015-03-04,3.01,3.08,3.0,3.03,3.03,18900
2015-03-05,3.09,3.11,3.0,3.1,3.1,44600
2015-03-06,3.05,3.05,2.83,3.05,3.05,17300
2015-03-09,3.0,3.05,2.99,3.05,3.05,7200
2015-03-10,3.05,3.05,2.95,3.0,3.0,4400
2015-03-11,3.05,3.1,2.87,2.9,2.9,17700
2015-03-12,2.95,2.96,2.95,2.95,2.95,3900
2015-03-13,2.93,2.93,2.85,2.91,2.91,13000
2015-03-16,2.86,2.91,2.76,2.9,2.9,10500
2015-03-17,2.9,2.92,2.86,2.9,2.9,7200
2015-03-18,2.9,3.05,2.9,3.04,3.04,2600
2015-03-19,3.05,3.09,3.0,3.0,3.0,3000
2015-03-20,3.11,3.12,3.01,3.01,3.01,4500
2015-03-23,2.91,3.07,2.91,3.07,3.07,6900
2015-03-24,3.04,3.12,3.01,3.1,3.1,6900
2015-03-25,3.1,3.19,3.05,3.09,3.09,4700
2015-03-26,3.14,3.19,3.05,3.05,3.05,13800
2015-03-27,3.05,3.08,2.88,3.03,3.03,12900
2015-03-30,2.99,3.02,2.9,3.0,3.0,8400
2015-03-31,3.02,3.1,2.87,3.07,3.07,26100
2015-04-01,3.04,3.14,3.0,3.14,3.14,8900
2015-04-02,3.16,3.38,3.15,3.35,3.35,21200
2015-04-06,3.38,3.45,3.29,3.32,3.32,8000
2015-04-07,3.24,3.33,3.2,3.33,3.33,9800
2015-04-08,3.25,3.35,3.25,3.3,3.3,1900
2015-04-09,3.39,3.4,3.3,3.3,3.3,3500
2015-04-10,3.33,3.33,3.28,3.33,3.33,9400
2015-04-13,3.3,3.33,3.11,3.24,3.24,48700
2015-04-14,3.21,3.35,3.14,3.34,3.34,13000
2015-04-15,3.35,3.58,3.35,3.58,3.58,9300
2015-04-16,3.65,3.7,3.57,3.7,3.7,14600
2015-04-17,3.65,3.66,3.51,3.6,3.6,9000
2015-04-20,3.54,3.55,3.54,3.55,3.55,700
2015-04-21,3.51,3.51,3.45,3.45,3.45,2400
2015-04-22,3.48,3.48,3.48,3.48,3.48,100
2015-04-23,3.52,3.82,3.5,3.61,3.61,5400
2015-04-24,3.66,3.69,3.63,3.66,3.66,6300
2015-04-27,3.64,3.68,3.62,3.66,3.66,4900
2015-04-28,3.71,3.71,3.6,3.6,3.6,11400
2015-04-29,3.6,3.68,3.36,3.68,3.68,26400
2015-04-30,3.66,3.68,3.64,3.68,3.68,3200
2015-05-01,3.67,3.72,3.65,3.72,3.72,600
2015-05-04,3.71,3.72,3.65,3.69,3.69,6800
2015-05-05,3.67,3.69,3.47,3.6,3.6,7200
2015-05-06,3.65,3.65,3.55,3.63,3.63,2100
2015-05-07,3.6,3.62,3.5,3.57,3.57,2200
2015-05-08,3.67,3.67,3.38,3.55,3.55,11400
2015-05-11,3.49,3.58,3.39,3.43,3.43,4000
2015-05-12,3.49,3.49,3.48,3.49,3.49,1100
2015-05-13,3.46,3.57,3.38,3.54,3.54,6900
2015-05-14,3.52,3.55,3.31,3.32,3.32,15500
2015-05-15,3.37,3.5,3.37,3.5,3.5,5500
2015-05-18,3.44,3.49,3.39,3.39,3.39,16100
2015-05-19,3.41,3.44,3.28,3.28,3.28,6600
2015-05-20,3.25,3.36,3.21,3.26,3.26,5500
2015-05-21,3.22,3.26,3.06,3.17,3.17,57500
2015-05-22,3.2,3.27,3.15,3.19,3.19,3300
2015-05-26,3.2,3.21,3.16,3.16,3.16,1800
2015-05-27,3.21,3.21,3.15,3.15,3.15,1700
2015-05-28,3.24,3.29,3.1,3.11,3.11,39700
2015-05-29,3.18,3.36,3.12,3.2,3.2,42000
2015-06-01,3.2,3.2,3.2,3.2,3.2,100
2015-06-02,3.15,3.22,3.15,3.18,3.18,2600
2015-06-03,3.25,3.3,3.18,3.18,3.18,37300
2015-06-04,3.2,3.5,3.2,3.35,3.35,33700
2015-06-05,3.3,3.47,3.3,3.47,3.47,1900
2015-06-08,3.42,3.43,3.38,3.43,3.43,300
2015-06-09,3.38,3.38,3.38,3.38,3.38,600
2015-06-10,3.38,3.38,3.33,3.38,3.38,2600
