Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,1.89,2.1,1.89,2.0,2.0,13900.0
2010-01-05,2.0,2.0,1.91,1.96,1.96,9800.0
2010-01-06,2.0,2.0,1.93,1.99,1.99,3000.0
2010-01-07,2.0,2.0,1.93,2.0,2.0,2300.0
2010-01-08,1.94,2.0,1.94,2.0,2.0,5200.0
2010-01-11,1.99,1.99,1.94,1.99,1.99,800.0
2010-01-12,1.94,1.99,1.94,1.99,1.99,400.0
2010-01-13,1.97,1.98,1.93,1.98,1.98,3300.0
2010-01-14,1.98,2.0,1.98,2.0,2.0,1300.0
2010-01-15,2.0,2.0,1.99,1.99,1.99,1800.0
2010-01-19,2.0,2.0,1.84,1.85,1.85,9000.0
2010-01-20,1.85,1.85,1.85,1.85,1.85,0.0
2010-01-21,1.85,1.85,1.85,1.85,1.85,1200.0
2010-01-22,1.88,1.88,1.84,1.84,1.84,2300.0
2010-01-25,1.84,1.84,1.76,1.81,1.81,1900.0
2010-01-26,1.82,1.82,1.76,1.81,1.81,2100.0
2010-01-27,1.79,1.83,1.79,1.79,1.79,600.0
2010-01-28,1.81,1.81,1.8,1.81,1.81,300.0
2010-01-29,1.8,1.82,1.78,1.78,1.78,3400.0
2010-02-01,1.78,1.78,1.78,1.78,1.78,0.0
2010-02-02,1.79,1.81,1.79,1.8,1.8,500.0
2010-02-03,1.78,1.78,1.78,1.78,1.78,200.0
2010-02-04,1.8,1.82,1.8,1.81,1.81,800.0
2010-02-05,1.77,1.77,1.61,1.71,1.71,5400.0
2010-02-08,1.72,1.72,1.72,1.72,1.72,900.0
2010-02-09,1.77,1.77,1.77,1.77,1.77,1500.0
2010-02-10,1.85,1.85,1.77,1.77,1.77,200.0
2010-02-11,1.77,1.82,1.75,1.75,1.75,4300.0
2010-02-12,1.74,1.74,1.65,1.65,1.65,800.0
2010-02-16,1.8,1.8,1.65,1.71,1.71,6400.0
2010-02-17,1.71,1.71,1.71,1.71,1.71,0.0
2010-02-18,1.71,1.71,1.7,1.7,1.7,4800.0
2010-02-19,1.7,1.7,1.7,1.7,1.7,0.0
2010-02-22,1.67,1.7,1.67,1.7,1.7,1300.0
2010-02-23,1.68,1.68,1.65,1.65,1.65,2400.0
2010-02-24,1.65,1.65,1.65,1.65,1.65,0.0
2010-02-25,1.65,1.65,1.64,1.64,1.64,1500.0
2010-02-26,1.65,1.65,1.54,1.64,1.64,5700.0
2010-03-01,1.64,1.65,1.32,1.65,1.65,35300.0
2010-03-02,1.52,1.6,1.42,1.59,1.59,18400.0
2010-03-03,1.59,1.59,1.57,1.57,1.57,1300.0
2010-03-04,1.56,1.56,1.53,1.53,1.53,1300.0
2010-03-05,1.04,1.53,1.04,1.47,1.47,15600.0
2010-03-08,1.55,1.6,1.44,1.44,1.44,9300.0
2010-03-09,1.44,1.45,1.44,1.45,1.45,3100.0
2010-03-10,1.51,1.71,1.46,1.54,1.54,13200.0
2010-03-11,1.55,1.55,1.45,1.46,1.46,8800.0
