Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,10.86,11.07,10.86,10.557637,10.96,5172900
2010-01-05,10.91,11.22,10.82,10.596169,11.0,6131900
2010-01-06,10.91,11.14,10.85,10.499839,10.9,5843800
2010-01-07,10.8,10.98,10.76,10.557637,10.96,4347200
2010-01-08,10.87,11.08,10.87,10.67323,11.08,4084500
2010-01-11,11.41,11.54,11.27,11.097078,11.52,7892800
2010-01-12,11.54,11.57,10.99,10.653966,11.06,5991400
2010-01-13,11.2,11.28,10.73,10.509473,10.91,6349700
2010-01-14,10.82,10.97,10.62,10.403511,10.8,5130900
2010-01-15,10.8,10.87,10.23,9.950766,10.33,5314700
2010-01-19,10.4,10.58,10.27,10.17232,10.56,5055300
2010-01-20,10.41,10.48,10.27,10.018197,10.4,6742500
2010-01-21,10.39,10.67,10.2,10.047095,10.43,7504500
2010-01-22,10.35,10.35,9.72,9.401691,9.76,6836600
2010-01-25,9.85,10.11,9.78,9.546183000000001,9.91,3992700
2010-01-26,9.88,10.25,9.79,9.748474,10.12,6601200
2010-01-27,10.11,10.3,9.91,9.883336,10.26,6750500
2010-01-28,10.78,10.78,9.26,9.141602,9.49,15228400
2010-01-29,9.74,9.94,9.23,8.997109,9.34,9828100
2010-02-01,9.36,9.69,9.34,9.286097999999999,9.64,7691500
2010-02-02,9.67,10.0,9.59,9.440225,9.8,5874400
2010-02-03,9.8,9.94,9.56,9.266831,9.62,4865900
2010-02-04,9.56,9.56,8.98,8.737022,9.07,8511400
2010-02-05,9.07,9.35,8.95,8.958578,9.3,7401200
2010-02-08,9.29,9.55,9.2,8.910414,9.25,4570000
2010-02-09,9.5,9.53,9.2,8.977844000000001,9.32,6137400
2010-02-10,9.3,9.44,9.18,9.016376,9.36,4853600
2010-02-11,9.32,9.76,9.27,9.363161,9.72,4922500
2010-02-12,9.59,9.95,9.45,9.449857000000002,9.81,4757300
2010-02-16,9.86,10.15,9.84,9.748474,10.12,3847400
2010-02-17,10.13,10.2,9.95,9.632878999999999,10.0,2417400
2010-02-18,9.91,10.01,9.85,9.603978999999999,9.97,3525600
2010-02-19,9.91,10.11,9.84,9.70031,10.07,3482300
2010-02-22,10.12,10.16,9.97,9.671412,10.04,2293400
2010-02-23,10.04,10.04,9.54,9.286097999999999,9.64,4057900
2010-02-24,9.68,10.07,9.61,9.613613,9.98,4306700
2010-02-25,9.75,10.04,9.63,9.661778,10.03,4439000
2010-02-26,10.09,10.09,9.78,9.623246,9.99,4775800
2010-03-01,10.05,10.41,10.05,10.008564,10.39,4227300
2010-03-02,10.34,10.67,10.34,10.201221,10.59,6375700
2010-03-03,10.67,10.74,10.47,10.13379,10.52,4719900
