Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,5.15,5.15,5.15,5.15,5.15,100
2010-01-05,5.1,5.3,4.99,5.3,5.3,12600
2010-01-06,5.25,5.3,5.25,5.3,5.3,600
2010-01-07,5.3,5.3,5.3,5.3,5.3,0
2010-01-08,5.3,5.3,5.3,5.3,5.3,200
2010-01-11,5.3,5.45,5.3,5.3,5.3,1000
2010-01-12,5.39,5.39,5.3,5.3,5.3,200
2010-01-13,5.3,5.3,5.3,5.3,5.3,0
2010-01-14,5.37,5.39,5.28,5.39,5.39,2100
2010-01-15,5.39,5.45,5.39,5.45,5.45,1600
2010-01-19,5.47,6.44,5.26,6.37,6.37,14500
2010-01-20,6.58,6.6,6.26,6.6,6.6,5300
2010-01-21,6.58,6.73,6.29,6.5,6.5,7000
2010-01-22,6.49,6.49,6.36,6.41,6.41,600
2010-01-25,6.45,6.6,6.31,6.6,6.6,11000
2010-01-26,6.66,6.69,6.4,6.69,6.69,3500
2010-01-27,6.42,6.63,6.42,6.58,6.58,3600
2010-01-28,6.51,6.51,5.67,6.25,6.25,2300
2010-01-29,6.39,6.45,6.37,6.45,6.45,1300
2010-02-01,6.5,7.89,6.5,6.9,6.9,12800
2010-02-02,6.85,7.48,6.85,7.15,7.15,2900
2010-02-03,7.19,7.19,7.0,7.0,7.0,1800
2010-02-04,7.06,7.06,7.0,7.0,7.0,500
2010-02-05,7.0,7.0,7.0,7.0,7.0,0
2010-02-08,6.98,7.0,6.98,7.0,7.0,600
2010-02-09,7.1,7.59,7.1,7.1,7.1,3100
2010-02-10,6.85,8.29,6.85,7.6,7.6,8200
2010-02-11,8.49,8.5,7.6,7.6,7.6,900
2010-02-12,7.2,7.5,6.5,6.98,6.98,6500
2010-02-16,7.34,7.34,6.85,7.0,7.0,2600
2010-02-17,6.75,6.94,6.25,6.4,6.4,4900
2010-02-18,6.35,7.2,6.35,6.87,6.87,3100
2010-02-19,6.78,8.76,6.78,7.75,7.75,16800
2010-02-22,8.2,8.2,7.8,8.0,8.0,3100
2010-02-23,8.0,8.0,8.0,8.0,8.0,0
2010-02-24,7.5,8.0,7.5,7.99,7.99,600
2010-02-25,7.59,7.59,7.2,7.59,7.59,4200
2010-02-26,6.9,7.65,6.9,7.65,7.65,400
2010-03-01,7.35,7.38,7.35,7.35,7.35,1300
2010-03-02,7.8,7.99,7.8,7.97,7.97,1500
2010-03-03,8.3,8.64,8.0,8.05,8.05,4900
2010-03-04,8.1,8.1,7.98,8.0,8.0,5600
2010-03-05,7.82,7.82,7.82,7.82,7.82,20000
2010-03-08,7.7,7.8,7.51,7.8,7.8,1800
2010-03-09,7.8,7.8,7.8,7.8,7.8,0
2010-03-10,7.65,7.7,7.65,7.7,7.7,2900
2010-03-11,7.88,7.88,7.8,7.8,7.8,200
2010-03-12,7.99,7.99,7.99,7.99,7.99,100
2010-03-15,7.72,7.72,7.72,7.72,7.72,200
2010-03-16,8.0,8.0,7.99,7.99,7.99,1400
2010-03-17,7.67,7.89,7.03,7.89,7.89,11900
2010-03-18,7.86,7.86,7.25,7.51,7.51,3100
2010-03-19,7.75,7.75,7.36,7.75,7.75,1600
2010-03-22,7.55,8.25,7.36,7.36,7.36,2700
2010-03-23,7.37,7.56,7.37,7.56,7.56,2900
2010-03-24,7.52,7.7,7.25,7.6,7.6,5600
2010-03-25,7.74,7.75,7.74,7.75,7.75,500
