Date,Open,High,Low,Close,Adj Close,Volume
2012-10-02,3.6,3.6,3.6,3.6,3.6,0.0
2012-10-03,3.88,4.11,3.88,4.1,4.1,4400.0
2012-10-04,4.25,4.45,4.01,4.01,4.01,7900.0
2012-10-05,4.01,4.01,4.01,4.01,4.01,0.0
2012-10-08,4.01,4.01,4.01,4.01,4.01,0.0
2012-10-09,4.0,4.0,3.55,3.55,3.55,1200.0
2012-10-10,3.55,3.55,3.55,3.55,3.55,0.0
2012-10-11,3.55,3.55,3.55,3.55,3.55,0.0
2012-10-12,3.6,3.85,3.5,3.58,3.58,225500.0
2012-10-15,3.58,3.58,3.58,3.58,3.58,0.0
2012-10-16,3.58,3.58,3.58,3.58,3.58,0.0
2012-10-17,3.5,3.55,3.5,3.5,3.5,5500.0
2012-10-18,3.5,3.5,3.5,3.5,3.5,0.0
2012-10-19,3.5,3.5,3.5,3.5,3.5,0.0
2012-10-22,3.6,3.6,3.58,3.58,3.58,46600.0
2012-10-23,3.5,3.55,3.5,3.55,3.55,2400.0
2012-10-24,3.55,3.55,3.55,3.55,3.55,0.0
2012-10-25,3.55,3.55,3.55,3.55,3.55,0.0
2012-10-26,3.55,3.55,3.55,3.55,3.55,0.0
2012-10-31,3.6,4.0,3.5,4.0,4.0,600.0
2012-11-01,4.0,4.05,4.0,4.05,4.05,4000.0
2012-11-02,4.05,4.05,4.05,4.05,4.05,0.0
2012-11-05,3.5,4.01,3.5,4.01,4.01,8800.0
2012-11-06,4.02,4.05,3.15,4.05,4.05,124200.0
2012-11-07,4.05,4.05,4.05,4.05,4.05,0.0
2012-11-08,4.02,4.02,4.02,4.02,4.02,400.0
2012-11-09,4.05,4.15,4.05,4.05,4.05,12900.0
2012-11-12,4.05,4.05,4.05,4.05,4.05,0.0
2012-11-13,4.19,4.19,4.19,4.19,4.19,200.0
2012-11-14,4.19,4.19,4.19,4.19,4.19,0.0
2012-11-15,4.25,4.35,4.05,4.05,4.05,16500.0
2012-11-16,4.24,4.24,4.24,4.24,4.24,300.0
2012-11-19,4.24,4.24,4.24,4.24,4.24,0.0
2012-11-20,4.05,4.05,4.05,4.05,4.05,2200.0
2012-11-21,4.05,4.05,4.05,4.05,4.05,1000.0
2012-11-23,4.05,4.05,4.05,4.05,4.05,0.0
2012-11-26,4.25,4.25,4.05,4.05,4.05,2100.0
2012-11-27,4.24,4.24,4.04,4.04,4.04,9600.0
2012-11-28,4.04,4.05,4.04,4.05,4.05,2000.0
2012-11-29,4.25,4.25,4.25,4.25,4.25,1200.0
2012-11-30,4.25,4.25,4.25,4.25,4.25,0.0
2012-12-03,4.25,4.25,4.25,4.25,4.25,0.0
2012-12-04,4.25,4.25,4.05,4.06,4.06,12400.0
2012-12-05,4.06,4.06,4.06,4.06,4.06,0.0
2012-12-06,4.13,4.14,4.13,4.14,4.14,40000.0
2012-12-07,4.13,4.13,4.13,4.13,4.13,1500.0
2012-12-10,4.13,4.13,4.13,4.13,4.13,0.0
2012-12-11,4.18,4.2,4.18,4.2,4.2,3000.0
2012-12-12,4.2,4.2,4.2,4.2,4.2,0.0
2012-12-13,4.25,4.25,4.25,4.25,4.25,1300.0
2012-12-14,4.25,4.25,4.25,4.25,4.25,0.0
2012-12-17,4.28,4.48,4.28,4.45,4.45,22300.0
2012-12-18,4.45,4.45,4.45,4.45,4.45,0.0
2012-12-19,4.45,4.69,4.45,4.69,4.69,32600.0
2012-12-20,4.6,4.65,4.6,4.65,4.65,4900.0
2012-12-21,4.65,4.65,4.65,4.65,4.65,0.0
2012-12-24,4.6,4.64,4.6,4.64,4.64,6000.0
2012-12-26,4.64,4.64,4.64,4.64,4.64,0.0
2012-12-27,4.75,4.76,4.75,4.76,4.76,10500.0
2012-12-28,4.75,4.75,4.75,4.75,4.75,600.0
2012-12-31,4.95,4.95,4.95,4.95,4.95,13000.0
2013-01-02,4.95,5.0,4.95,5.0,5.0,29100.0
2013-01-03,5.0,5.0,5.0,5.0,5.0,0.0
2013-01-04,5.0,5.0,5.0,5.0,5.0,0.0
2013-01-07,5.0,5.0,5.0,5.0,5.0,0.0
2013-01-08,5.0,5.0,5.0,5.0,5.0,0.0
2013-01-09,5.45,5.45,5.45,5.45,5.45,500.0
2013-01-10,5.45,5.45,5.45,5.45,5.45,100.0
2013-01-11,4.95,5.0,4.92,4.945,4.945,30500.0
2013-01-14,4.945,4.945,4.945,4.945,4.945,0.0
2013-01-15,4.945,4.945,4.945,4.945,4.945,0.0
2013-01-16,5.0,5.0,4.76,4.76,4.76,3200.0
2013-01-17,4.85,4.85,4.85,4.85,4.85,13900.0
2013-01-18,4.85,4.85,4.29,4.5,4.5,6000.0
2013-01-22,4.4,4.65,4.4,4.65,4.65,2300.0
2013-01-23,4.65,4.65,4.4,4.4,4.4,1500.0
2013-01-24,4.43,4.46,4.43,4.46,4.46,1200.0
2013-01-25,4.46,4.46,4.46,4.46,4.46,0.0
2013-01-28,4.43,4.43,4.43,4.43,4.43,2300.0
2013-01-29,4.45,4.45,4.43,4.43,4.43,3300.0
2013-01-30,4.6,4.6,4.6,4.6,4.6,500.0
2013-01-31,4.6,4.6,4.6,4.6,4.6,0.0
2013-02-01,4.6,4.6,4.6,4.6,4.6,0.0
2013-02-04,4.43,4.43,4.43,4.43,4.43,5700.0
2013-02-05,4.5,4.5,4.45,4.45,4.45,1100.0
2013-02-06,4.4,4.4,4.4,4.4,4.4,100.0
2013-02-07,4.4,4.4,4.4,4.4,4.4,0.0
2013-02-08,4.4,4.4,4.4,4.4,4.4,0.0
2013-02-11,4.4,4.4,4.4,4.4,4.4,2100.0
2013-02-12,4.4,4.4,4.4,4.4,4.4,0.0
2013-02-13,4.4,4.4,4.4,4.4,4.4,0.0
2013-02-14,4.4,4.4,4.4,4.4,4.4,300.0
2013-02-15,4.4,4.4,4.4,4.4,4.4,0.0
2013-02-19,4.4,4.4,4.4,4.4,4.4,0.0
2013-02-20,4.4,4.4,4.4,4.4,4.4,0.0
2013-02-21,4.4,4.4,4.4,4.4,4.4,0.0
2013-02-22,4.4,4.4,4.4,4.4,4.4,0.0
2013-02-25,4.4,4.4,4.4,4.4,4.4,0.0
2013-02-26,4.4,4.4,4.4,4.4,4.4,0.0
2013-02-27,4.4,4.4,4.25,4.25,4.25,2200.0
2013-02-28,4.21,4.23,4.21,4.23,4.23,300.0
2013-03-01,4.15,4.3,4.1,4.3,4.3,3200.0
2013-03-04,4.3,4.31,4.3,4.31,4.31,1000.0
2013-03-05,4.35,4.35,4.25,4.25,4.25,5000.0
2013-03-06,4.21,4.21,4.21,4.21,4.21,2500.0
2013-03-07,4.21,4.27,4.21,4.25,4.25,4300.0
2013-03-08,4.25,4.25,4.25,4.25,4.25,0.0
2013-03-11,4.27,4.3,4.25,4.3,4.3,13000.0
2013-03-12,4.3,4.3,4.3,4.3,4.3,0.0
2013-03-13,4.5,5.25,4.5,5.25,5.25,4800.0
2013-03-14,4.5,4.5,4.5,4.5,4.5,6300.0
2013-03-15,4.5,4.5,4.5,4.5,4.5,0.0
2013-03-18,4.21,4.21,4.21,4.21,4.21,100.0
2013-03-19,4.21,4.21,4.21,4.21,4.21,0.0
2013-03-20,4.94,4.94,4.94,4.94,4.94,2400.0
2013-03-21,4.94,4.94,4.94,4.94,4.94,0.0
2013-03-22,4.94,4.94,4.94,4.94,4.94,0.0
2013-03-25,4.94,4.94,4.94,4.94,4.94,0.0
2013-03-26,4.94,4.94,4.94,4.94,4.94,0.0
2013-03-27,4.65,5.05,4.48,4.48,4.48,11700.0
2013-03-28,4.5,4.5,4.31,4.31,4.31,2500.0
2013-04-01,4.21,4.31,4.21,4.31,4.31,300.0
2013-04-02,4.35,4.35,4.25,4.3,4.3,10500.0
2013-04-03,4.35,5.3,4.35,5.3,5.3,188100.0
2013-04-04,5.0,5.0,5.0,5.0,5.0,2800.0
2013-04-05,5.0,5.0,4.6,4.6,4.6,9600.0
2013-04-08,4.5,4.5,4.45,4.45,4.45,500.0
2013-04-09,4.4,4.4,4.4,4.4,4.4,100.0
2013-04-10,4.4,4.4,4.4,4.4,4.4,0.0
2013-04-11,4.35,4.4,4.35,4.35,4.35,8500.0
2013-04-12,4.4,4.4,4.26,4.3,4.3,1700.0
2013-04-15,4.3,4.3,4.15,4.17,4.17,7200.0
2013-04-16,4.17,4.17,4.17,4.17,4.17,0.0
2013-04-17,4.2,4.2,4.17,4.17,4.17,3700.0
2013-04-18,4.26,4.26,4.2,4.2,4.2,3300.0
2013-04-19,4.4,4.4,4.2,4.4,4.4,15400.0
2013-04-22,4.4,4.4,4.4,4.4,4.4,1500.0
2013-04-23,4.6,4.6,4.6,4.6,4.6,2000.0
2013-04-24,4.55,4.6,4.5,4.5,4.5,5000.0
2013-04-25,4.52,4.52,4.52,4.52,4.52,3000.0
2013-04-26,4.9,5.5,4.9,5.25,5.25,3000.0
2013-04-29,5.5,5.75,5.45,5.75,5.75,87700.0
