Date,Open,High,Low,Close,Adj Close,Volume
2015-06-30,9.5,9.5,9.5,8.589102,9.5,0
2015-07-01,12.5,14.02,11.0,12.196525999999999,13.49,573400
2015-07-02,13.3,13.5,12.21,11.256246,12.45,62000
2015-07-06,12.06,12.89,11.56,11.048296,12.22,172300
2015-07-07,12.3,12.3,11.92,10.948844,12.11,4600
2015-07-08,11.5,12.25,11.11,10.849392,12.0,32800
2015-07-09,12.06,12.5,11.89,11.120625,12.3,20200
2015-07-10,12.22,12.4,12.0,11.211038,12.4,5700
2015-07-13,12.45,13.5,12.45,11.753508,13.0,78500
2015-07-14,13.17,13.6,12.8,11.798714,13.05,2800
2015-07-15,13.08,13.5,12.8,11.581727,12.81,6300
2015-07-16,12.75,12.94,12.34,11.156791,12.34,9700
2015-07-17,12.5,12.73,12.0,11.437066999999999,12.65,102200
2015-07-20,12.2,12.2,12.2,11.030215,12.2,600
2015-07-21,11.93,12.8,11.75,11.039257000000001,12.21,181900
2015-07-22,12.19,12.26,11.92,11.084461,12.26,21500
2015-07-23,11.85,12.95,11.85,11.346655,12.55,93700
2015-07-24,12.55,12.55,12.1,11.120625,12.3,14100
2015-07-27,11.8,12.202,11.65,10.60528,11.73,6100
2015-07-28,11.48,12.31,11.48,10.92172,12.08,186600
2015-07-29,12.1,12.28,11.89,11.075421,12.25,10200
2015-07-30,12.068,12.31,12.01,11.102545,12.28,1900
2015-07-31,12.18,12.3,12.0,10.849392,12.0,12800
2015-08-03,12.58,12.58,12.0,10.849392,12.0,13500
2015-08-04,12.25,12.31,12.16,11.120625,12.3,9800
2015-08-05,12.45,13.5,12.29,12.024742,13.3,8400
2015-08-06,14.0,14.0,13.51,12.567212,13.9,8400
2015-08-07,13.85,13.85,13.0,11.934331,13.2,1600
2015-08-10,13.4,13.84,13.02,12.069949000000001,13.35,21800
2015-08-11,13.37,14.25,13.35,12.883653,14.25,18500
2015-08-12,14.3,14.3,12.7,11.925289,13.19,15900
2015-08-13,13.35,13.35,12.71,11.509397,12.73,11200
2015-08-14,12.645,12.99,12.645,11.672137,12.91,3500
2015-08-17,12.98,13.31,12.0,11.30145,12.5,6600
2015-08-18,12.5,12.5,11.2,10.650486,11.78,28900
2015-08-19,11.475,11.71,11.27,10.523911,11.64,14100
2015-08-20,11.5,11.73,11.48,10.697934,11.68,20800
2015-08-21,11.66,11.7,11.3,10.716252,11.7,2100
2015-08-24,11.66,11.95,11.3,10.945232,11.95,12500
2015-08-25,12.142,12.142,11.46,10.670457,11.65,10900
2015-08-26,11.32,12.0,11.32,10.99103,12.0,4500
2015-08-27,12.21,12.25,11.61,11.155892999999999,12.18,24800
2015-08-28,12.24,12.25,11.82,11.082621000000001,12.1,2900
2015-08-31,12.58,12.58,11.72,11.142156,12.165,5600
2015-09-01,11.875,12.15,11.83,11.128416,12.15,1500
2015-09-02,12.6,12.6,12.22,11.220008,12.25,3600
2015-09-03,12.5,12.64,12.25,11.577216,12.64,12000
2015-09-04,12.8,12.8,12.2,11.352817,12.395,3100
