Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,11.9925,12.26,11.9325,9.938099000000001,12.135,254000
2010-01-05,12.12,12.4175,12.0425,9.97495,12.18,280000
2010-01-06,12.225,12.4175,12.185,10.017946,12.2325,346000
2010-01-07,12.18,12.3275,12.07,9.934002,12.13,314800
2010-01-08,12.1325,12.3475,12.11,10.028184,12.245,324000
2010-01-11,12.3325,12.5375,12.3225,10.185835,12.4375,281200
2010-01-12,12.26,12.355,12.0575,9.966762,12.17,328800
2010-01-13,11.885,12.2175,11.8825,9.807067,11.975,431200
2010-01-14,11.9675,12.0775,11.865,9.768163000000001,11.9275,258400
2010-01-15,12.005,12.015,11.77,9.727216,11.8775,191200
2010-01-19,11.8275,12.0175,11.6825,9.809111,11.9775,158400
2010-01-20,11.8,11.9425,11.6875,9.755879,11.9125,244400
2010-01-21,11.8575,11.88,11.435,9.39349,11.47,364800
2010-01-22,11.3375,11.4325,11.165,9.213319,11.25,285600
2010-01-25,10.915,11.305,10.7075,9.137564,11.1575,184000
2010-01-26,11.0025,11.2525,10.955,9.094567,11.105,344400
2010-01-27,11.1975,11.335,10.87,9.170323,11.1975,499600
2010-01-28,11.32,11.32,10.8725,9.076141,11.0825,293200
2010-01-29,11.27,11.3475,10.8825,8.994244,10.9825,659600
2010-02-01,11.025,11.3325,10.94,9.227649000000001,11.2675,336000
2010-02-02,11.4525,11.5,11.23,9.307499,11.365,305600
2010-02-03,11.33,11.375,11.1275,9.170323,11.1975,260000
2010-02-04,11.025,11.025,10.5025,8.705561999999999,10.63,456000
2010-02-05,10.6075,10.865,10.3875,8.887780000000001,10.8525,845600
2010-02-08,10.76,11.1325,10.71,8.857069000000001,10.815,850800
2010-02-09,11.08,11.4925,10.9675,9.190794,11.2225,862000
2010-02-10,11.255,11.3625,11.105,9.164178,11.19,312800
2010-02-11,11.0825,11.24,10.9825,9.160085,11.185,322000
2010-02-12,10.9,11.0175,10.7975,8.992196,10.98,296400
2010-02-16,11.0775,11.1575,11.055,9.106852,11.12,151200
2010-02-17,11.125,11.28,11.085,9.172369999999999,11.2,367200
2010-02-18,11.1825,11.2975,11.1025,9.176464999999999,11.205,265200
2010-02-19,11.265,11.365,11.17,9.223552999999999,11.2625,332400
2010-02-22,11.375,11.425,11.16,9.190794,11.2225,510400
2010-02-23,11.2,11.3275,11.0225,9.104806,11.1175,374800
2010-02-24,11.1975,11.235,11.0225,9.117092,11.1325,350400
2010-02-25,11.045,11.3,10.99,9.229697,11.27,267200
2010-02-26,11.415,11.415,11.1425,9.192844000000001,11.225,354000
2010-03-01,11.1875,11.2875,11.1225,9.21946,11.2575,182000
2010-03-02,11.34,11.6725,11.34,9.416012,11.4975,208800
2010-03-03,11.5825,11.8175,11.505,9.516334,11.62,317200
2010-03-04,11.6,11.6825,11.3575,9.591711,11.5475,185200
2010-03-05,11.5825,11.6775,11.5375,9.693464,11.67,165200
2010-03-08,11.75,11.905,11.5425,9.842979,11.85,486800
2010-03-09,11.735,12.2775,11.7325,10.102551,12.1625,398800
2010-03-10,12.245,12.43,12.21,10.299827,12.4,403600
2010-03-11,12.21,12.3,12.055,10.129546000000001,12.195,211200
2010-03-12,12.1825,12.1975,11.8125,9.928118,11.9525,249600
2010-03-15,11.82,11.86,11.6275,9.832595,11.8375,216000
2010-03-16,11.9175,11.9975,11.7325,9.934346000000001,11.96,338800
2010-03-17,12.025,12.2325,12.025,10.067248,12.12,252400
2010-03-18,12.01,12.105,11.89,10.050635,12.1,233600
2010-03-19,11.725,12.1575,11.625,9.739151,11.725,292000
2010-03-22,11.54,11.81,11.4875,9.755764,11.745,192000
2010-03-23,11.925,12.0875,11.835,10.015336999999999,12.0575,190800
2010-03-24,11.8425,11.8625,11.6025,9.68931,11.665,246800
2010-03-25,11.825,11.825,11.585,9.645703,11.6125,468000
2010-03-26,11.6375,11.6375,11.475,9.635323,11.6,330800
