Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,3.92,3.96,3.85,2.822352,3.93,2195000
2010-01-05,3.93,3.99,3.91,2.865441,3.99,4241300
2010-01-06,4.04,4.19,4.04,3.00189,4.18,5843500
2010-01-07,4.21,4.22,4.11,3.030617,4.22,7519500
2010-01-08,4.23,4.24,4.16,3.009072,4.19,3062600
2010-01-11,4.2,4.24,4.16,3.00189,4.18,2685800
2010-01-12,4.17,4.17,4.07,2.930075,4.08,4110900
2010-01-13,4.05,4.1,4.02,2.937257,4.09,5008600
2010-01-14,4.09,4.22,4.09,2.980346,4.15,4107700
2010-01-15,4.16,4.21,4.11,2.987527,4.16,5808700
2010-01-19,4.07,4.15,4.07,2.965982,4.13,5197600
2010-01-20,4.15,4.17,4.07,2.965982,4.13,5303300
2010-01-21,4.16,4.17,4.07,2.922894,4.07,7985600
2010-01-22,4.07,4.08,3.86,2.772081,3.86,7709600
2010-01-25,3.89,3.94,3.87,2.829533,3.94,6268000
2010-01-26,3.87,3.87,3.76,2.7002650000000004,3.76,7252100
2010-01-27,3.8,3.8,3.7,2.678721,3.73,4624500
2010-01-28,3.76,3.81,3.55,2.614087,3.64,9438100
2010-01-29,3.67,3.75,3.51,2.520726,3.51,9039000
2010-02-01,3.46,3.63,3.46,2.592542,3.61,9289800
2010-02-02,3.59,3.62,3.53,2.563815,3.57,5047300
2010-02-03,3.7,3.75,3.63,2.649994,3.69,11774600
2010-02-04,3.68,3.68,3.51,2.527908,3.52,7448500
2010-02-05,3.49,3.54,3.4,2.477637,3.45,8721400
2010-02-08,3.5,3.62,3.44,2.513545,3.5,4629200
2010-02-09,3.55,3.64,3.54,2.592542,3.61,3550300
2010-02-10,3.58,3.74,3.56,2.621268,3.65,6244800
2010-02-11,3.66,3.76,3.6,2.7002650000000004,3.76,3586300
2010-02-12,3.69,3.74,3.65,2.62845,3.66,3827200
2010-02-16,3.68,3.75,3.66,2.693083,3.75,3666300
2010-02-17,3.78,3.79,3.7,2.707447,3.77,1771400
2010-02-18,3.75,3.77,3.7,2.7002650000000004,3.76,2254400
2010-02-19,3.72,3.73,3.64,2.635631,3.67,5028900
2010-02-22,3.65,3.72,3.65,2.671539,3.72,7339100
2010-02-23,3.67,3.68,3.56,2.556634,3.56,5413900
2010-02-24,3.56,3.59,3.5,2.520726,3.51,13676800
2010-02-25,3.4,3.43,3.25,2.3986400000000003,3.34,14819700
2010-02-26,3.35,3.49,3.33,2.463274,3.43,9273800
2010-03-01,3.46,3.58,3.46,2.549452,3.55,6170000
2010-03-02,3.54,3.56,3.48,2.535089,3.53,3706400
2010-03-03,3.57,3.59,3.54,2.563815,3.57,4092900
2010-03-04,3.54,3.57,3.45,2.484818,3.46,4057700
2010-03-05,3.53,3.6,3.47,2.578179,3.59,4371400
2010-03-08,3.6,3.6,3.53,2.563815,3.57,4657700
2010-03-09,3.58,3.63,3.55,2.570997,3.58,4952800
2010-03-10,3.6,3.65,3.58,2.592542,3.61,3548000
2010-03-11,3.59,3.65,3.55,2.599723,3.62,11562900
2010-03-12,3.63,3.66,3.6,2.606905,3.63,5174600
2010-03-15,3.59,3.61,3.52,2.563815,3.57,5510000
2010-03-16,3.56,3.63,3.53,2.606905,3.63,12240000
2010-03-17,3.67,3.69,3.6,2.635631,3.67,5890300
2010-03-18,3.68,3.68,3.6,2.614087,3.64,5533000
2010-03-19,3.51,3.69,3.51,2.520726,3.51,11738800
2010-03-22,3.53,3.62,3.53,2.592542,3.61,4411000
2010-03-23,3.64,3.71,3.57,2.6428130000000003,3.68,3500300
2010-03-24,3.68,3.69,3.62,2.599723,3.62,2281400
2010-03-25,3.64,3.68,3.61,2.592542,3.61,2725300
2010-03-26,3.64,3.69,3.55,2.570997,3.58,3157700
2010-03-29,3.64,3.69,3.57,2.614087,3.64,5140500
2010-03-30,3.66,3.78,3.64,2.693083,3.75,4374500
2010-03-31,3.74,3.8,3.74,2.7002650000000004,3.76,3129700
2010-04-01,3.76,3.84,3.71,2.714628,3.78,6193800
2010-04-05,3.78,3.87,3.75,2.7792619999999997,3.87,3045100
2010-04-06,3.86,3.91,3.85,2.793625,3.89,4238800
2010-04-07,3.9,3.91,3.83,2.764899,3.85,1327300
2010-04-08,3.86,3.88,3.82,2.786444,3.88,2557000
2010-04-09,3.86,3.9,3.84,2.7792619999999997,3.87,1349700
2010-04-12,3.88,3.89,3.84,2.772081,3.86,1685800
2010-04-13,3.82,3.83,3.73,2.736173,3.81,4464300
2010-04-14,3.84,3.9,3.81,2.793625,3.89,2473200
