Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,12.29,12.34,12.29,8.447569999999999,12.34,800.0
2010-01-05,12.31,12.35,12.15,8.413342,12.29,11000.0
2010-01-06,12.21,12.21,12.09,8.303811,12.13,17600.0
2010-01-07,12.01,12.19,12.01,8.344887,12.19,3700.0
2010-01-08,12.2,12.2,12.2,8.351732,12.2,200.0
2010-01-11,12.11,12.25,12.07,8.379114999999999,12.24,8900.0
2010-01-12,12.24,12.41,12.2,8.440726,12.33,10800.0
2010-01-13,12.32,12.34,12.22,8.415307,12.25,4700.0
2010-01-14,12.22,12.25,12.2,8.415307,12.25,2000.0
2010-01-15,12.23,12.25,12.2,8.380961,12.2,6000.0
2010-01-19,12.25,12.25,12.08,8.319131,12.11,7400.0
2010-01-20,12.13,12.13,12.11,8.319131,12.11,700.0
2010-01-21,12.13,12.22,12.13,8.394697,12.22,3800.0
2010-01-22,12.2,12.2,12.2,8.380961,12.2,200.0
2010-01-25,12.21,12.21,12.0,8.298528,12.08,13000.0
2010-01-26,12.05,12.11,12.05,8.312268,12.1,4300.0
2010-01-27,12.08,12.08,12.08,8.298528,12.08,200.0
2010-01-28,12.05,12.08,12.03,8.291655,12.07,1500.0
2010-01-29,12.07,12.07,12.05,8.277918,12.05,1200.0
2010-02-01,12.08,12.08,12.08,8.298528,12.08,700.0
2010-02-02,12.09,12.09,11.98,8.298528,12.08,5200.0
2010-02-03,12.09,12.1,12.08,8.305394999999999,12.09,1700.0
2010-02-04,12.07,12.07,12.07,8.291655,12.07,300.0
2010-02-05,12.1,12.1,12.04,8.277918,12.05,1600.0
2010-02-08,12.06,12.13,12.06,8.326002,12.12,1800.0
2010-02-09,12.13,12.13,12.06,8.284782,12.06,2400.0
2010-02-10,11.88,12.03,11.88,8.293753,12.03,6800.0
2010-02-11,12.03,12.03,12.02,8.293753,12.03,900.0
2010-02-12,12.04,12.13,12.04,8.362685,12.13,5700.0
2010-02-16,12.09,12.21,12.04,8.417842,12.21,3900.0
2010-02-17,12.19,12.25,12.19,8.445423,12.25,3000.0
2010-02-18,12.25,12.25,12.25,8.445423,12.25,0.0
2010-02-19,12.25,12.25,12.05,8.34201,12.1,7800.0
2010-02-22,12.09,12.1,12.02,8.286852,12.02,1900.0
2010-02-23,12.07,12.2,12.07,8.410950999999999,12.2,10700.0
2010-02-24,12.2,12.2,12.2,8.410950999999999,12.2,5100.0
2010-02-25,12.16,12.25,12.16,8.445423,12.25,4100.0
2010-02-26,12.25,12.25,12.2,8.410950999999999,12.2,2100.0
2010-03-01,12.14,12.3,12.14,8.42474,12.22,7300.0
2010-03-02,12.21,12.22,12.21,8.42474,12.22,500.0
2010-03-03,12.22,12.52,12.22,8.597093,12.47,16300.0
2010-03-04,12.41,12.47,12.39,8.555729,12.41,1200.0
2010-03-05,12.51,12.51,12.3,8.521257,12.36,4000.0
2010-03-08,12.47,12.5,12.3,8.479892999999999,12.3,4500.0
2010-03-09,12.49,12.49,12.4,8.555729,12.41,3300.0
2010-03-10,12.31,12.39,12.06,8.488622,12.27,7100.0
2010-03-11,12.21,12.31,12.21,8.509378,12.3,3000.0
2010-03-12,12.25,12.25,12.18,8.474788,12.25,4400.0
2010-03-15,12.27,12.27,12.17,8.474788,12.25,4700.0
2010-03-16,12.19,12.19,12.1,8.405603999999999,12.15,11600.0
2010-03-17,12.14,12.14,12.09,8.364097000000001,12.09,3100.0
2010-03-18,12.08,12.15,12.08,8.377934,12.11,2500.0
2010-03-19,12.13,12.13,12.12,8.391765,12.13,2400.0
2010-03-22,12.24,12.24,12.14,8.405603999999999,12.15,17800.0
2010-03-23,12.16,12.22,12.12,8.384847,12.12,6900.0
2010-03-24,12.11,12.13,12.05,8.377934,12.11,29100.0
2010-03-25,12.15,12.22,12.08,8.454037,12.22,12000.0
2010-03-26,12.13,12.32,12.13,8.440197,12.2,10100.0
2010-03-29,12.2,12.26,12.19,8.433277,12.19,10400.0
2010-03-30,12.1,12.27,12.1,8.371012,12.1,17600.0
2010-03-31,12.17,12.17,12.05,8.398686,12.14,11100.0
2010-04-01,12.13,12.13,12.07,8.391765,12.13,11300.0
2010-04-05,11.77,12.13,11.77,8.391765,12.13,17400.0
2010-04-06,12.14,12.19,12.13,8.433277,12.19,17400.0
2010-04-07,12.15,12.19,12.15,8.433277,12.19,8600.0
2010-04-08,12.19,12.19,12.13,8.391765,12.13,6300.0
2010-04-09,11.92,12.19,11.92,8.433277,12.19,13200.0
2010-04-12,12.19,12.26,12.18,8.433277,12.19,5300.0
2010-04-13,12.24,12.24,12.16,8.433277,12.19,6100.0
2010-04-14,12.1,12.19,12.06,8.435360000000001,12.15,7800.0
2010-04-15,12.15,12.25,12.15,8.504785,12.25,12200.0
2010-04-16,12.2,12.29,12.16,8.456186,12.18,24200.0
2010-04-19,12.24,12.26,12.19,8.470074,12.2,4700.0
2010-04-20,12.17,12.2,12.16,8.463125999999999,12.19,9900.0
2010-04-21,12.2,12.23,12.15,8.463125999999999,12.19,12000.0
2010-04-22,12.2,12.24,12.18,8.477012,12.21,5900.0
2010-04-23,12.22,12.34,12.19,8.483956,12.22,5600.0
2010-04-26,12.22,12.22,12.22,8.483956,12.22,0.0
