Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,3.89,3.97,3.75,3.93,3.93,1040400
2010-01-05,3.91,3.95,3.83,3.86,3.86,635800
2010-01-06,3.87,4.02,3.77,3.88,3.88,1268400
2010-01-07,3.9,4.31,3.9,4.21,4.21,1286500
2010-01-08,4.21,4.48,4.13,4.47,4.47,717800
2010-01-11,4.41,4.75,4.41,4.67,4.67,756200
2010-01-12,4.6,4.69,4.52,4.59,4.59,657000
2010-01-13,4.58,4.65,4.42,4.59,4.59,381700
2010-01-14,4.57,4.79,4.52,4.76,4.76,451200
2010-01-15,4.81,4.85,4.57,4.64,4.64,826500
2010-01-19,4.66,4.96,4.56,4.96,4.96,494700
2010-01-20,4.9,5.22,4.86,5.2,5.2,546800
2010-01-21,5.24,5.5,5.18,5.46,5.46,1485800
2010-01-22,5.38,5.38,5.05,5.29,5.29,1287600
2010-01-25,5.22,5.26,5.05,5.21,5.21,892900
2010-01-26,5.25,5.66,5.25,5.37,5.37,807100
2010-01-27,5.35,5.37,5.27,5.34,5.34,353900
2010-01-28,5.32,5.38,5.05,5.2,5.2,271200
2010-01-29,5.21,5.36,5.05,5.13,5.13,851900
2010-02-01,5.18,5.2,4.98,5.01,5.01,481400
2010-02-02,5.03,5.1,4.92,4.98,4.98,447600
2010-02-03,4.95,5.02,4.76,4.79,4.79,218300
2010-02-04,4.76,4.76,4.44,4.46,4.46,402500
2010-02-05,4.47,4.55,4.31,4.42,4.42,1153600
2010-02-08,4.42,4.57,4.36,4.46,4.46,524300
2010-02-09,4.52,4.68,4.47,4.65,4.65,478100
2010-02-10,4.61,4.67,4.49,4.65,4.65,268100
2010-02-11,4.62,4.66,4.45,4.66,4.66,317400
2010-02-12,4.6,4.65,4.53,4.64,4.64,194700
2010-02-16,4.7,4.8,4.63,4.8,4.8,130000
2010-02-17,4.83,4.86,4.77,4.82,4.82,124100
2010-02-18,4.84,5.18,4.78,5.15,5.15,384300
2010-02-19,5.19,5.27,5.01,5.21,5.21,394100
2010-02-22,5.22,5.54,5.07,5.45,5.45,1016100
2010-02-23,5.45,5.48,5.37,5.44,5.44,426300
2010-02-24,5.45,5.67,5.44,5.65,5.65,362600
2010-02-25,5.57,5.96,5.5,5.9,5.9,584000
2010-02-26,5.9,5.9,5.52,5.76,5.76,755800
2010-03-01,5.79,5.9,5.55,5.81,5.81,407500
2010-03-02,5.84,5.9,5.75,5.87,5.87,267100
2010-03-03,5.87,5.87,5.61,5.64,5.64,236700
2010-03-04,5.65,5.76,5.62,5.72,5.72,242200
2010-03-05,5.77,5.84,5.63,5.84,5.84,226700
2010-03-08,5.86,5.9,5.74,5.83,5.83,311800
2010-03-09,5.8,5.85,5.72,5.83,5.83,554500
2010-03-10,5.81,5.96,5.78,5.93,5.93,704000
2010-03-11,5.9,6.01,5.87,6.0,6.0,351500
2010-03-12,6.02,6.04,5.88,6.03,6.03,402100
2010-03-15,5.98,6.04,5.7,5.82,5.82,348300
