Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,4.49,4.82,4.45,3.18776,4.5,149400
2010-01-05,4.5,4.66,4.5,3.251516,4.59,129400
2010-01-06,4.63,4.74,4.6,3.3223550000000004,4.69,172600
2010-01-07,4.66,4.68,4.55,3.301103,4.66,112700
2010-01-08,4.64,4.64,4.51,3.251516,4.59,137500
2010-01-11,4.62,4.63,4.37,3.1665080000000003,4.47,179300
2010-01-12,4.48,4.48,4.34,3.116922,4.4,190000
2010-01-13,4.39,4.42,4.25,3.116922,4.4,193700
2010-01-14,4.36,4.39,4.32,3.081501,4.35,142000
2010-01-15,4.29,4.3,4.19,3.0248310000000003,4.27,230300
2010-01-19,4.3,4.33,4.18,3.060251,4.32,214800
2010-01-20,4.3,4.3,4.19,3.003578,4.24,156800
2010-01-21,4.22,4.22,4.14,2.961075,4.18,176000
2010-01-22,4.15,4.17,4.07,2.9114880000000003,4.11,134900
2010-01-25,4.12,4.13,4.05,2.8902360000000002,4.08,167300
2010-01-26,4.04,4.13,4.0,2.8902360000000002,4.08,159700
2010-01-27,4.06,4.08,4.0,2.8477330000000003,4.02,102200
2010-01-28,4.03,4.05,3.92,2.833565,4.0,107100
2010-01-29,4.06,4.06,3.9,2.812313,3.97,190100
2010-02-01,3.96,4.0,3.92,2.798145,3.95,116100
2010-02-02,3.91,4.08,3.91,2.8548169999999997,4.03,133300
2010-02-03,3.96,4.1,3.95,2.868984,4.05,80500
2010-02-04,3.95,3.99,3.86,2.7343900000000003,3.86,188800
2010-02-05,3.85,3.88,3.59,2.7343900000000003,3.86,210700
2010-02-08,3.9,3.97,3.31,2.642299,3.73,119300
2010-02-09,3.75,3.8,3.72,2.635215,3.72,50400
2010-02-10,3.77,3.84,3.7,2.720222,3.84,195000
2010-02-11,4.19,4.25,3.9,2.861901,4.04,437500
2010-02-12,4.09,4.2,4.04,2.9114880000000003,4.11,242100
2010-02-16,4.16,4.22,4.01,2.904404,4.1,244500
2010-02-17,4.11,4.13,4.0,2.861901,4.04,145900
2010-02-18,4.0,4.05,3.88,2.805229,3.96,185400
2010-02-19,3.91,4.04,3.9,2.798145,3.95,182400
2010-02-22,3.95,3.99,3.89,2.812313,3.97,174700
2010-02-23,4.0,4.0,3.85,2.741474,3.87,167100
2010-02-24,3.86,3.88,3.82,2.727306,3.85,201300
2010-02-25,3.8,3.85,3.76,2.7131380000000003,3.83,171200
2010-02-26,3.82,3.92,3.81,2.762726,3.9,198300
2010-03-01,3.87,4.08,3.87,2.8264810000000002,3.99,264500
2010-03-02,4.04,4.05,3.95,2.8477330000000003,4.02,186900
2010-03-03,4.07,4.07,3.91,2.812313,3.97,202300
2010-03-04,3.98,3.99,3.92,2.819397,3.98,192400
2010-03-05,4.0,4.07,3.96,2.805229,3.96,283300
2010-03-08,3.99,4.26,3.93,3.010662,4.25,659400
2010-03-09,4.22,4.3,4.15,2.961075,4.18,363900
2010-03-10,4.23,4.27,4.16,2.961075,4.18,225800
2010-03-11,4.22,4.23,4.08,2.925655,4.13,248100
2010-03-12,4.27,4.27,4.1,2.918572,4.12,181600
2010-03-15,4.1,4.1,3.97,2.876068,4.06,328300
2010-03-16,4.05,4.11,4.03,2.868984,4.05,285600
2010-03-17,4.05,4.18,4.05,2.918572,4.12,138000
2010-03-18,4.15,4.2,4.13,2.975243,4.2,117100
2010-03-19,4.14,4.2,4.06,2.9327389999999998,4.14,126500
2010-03-22,4.11,4.11,4.03,2.897321,4.09,178500
2010-03-23,4.12,4.12,3.98,2.868984,4.05,277800
2010-03-24,4.06,4.06,3.99,2.833565,4.0,158200
2010-03-25,4.0,4.08,3.99,2.8477330000000003,4.02,206300
2010-03-26,4.03,4.06,3.98,2.833565,4.0,114500
2010-03-29,4.03,4.03,3.98,2.8477330000000003,4.02,119000
2010-03-30,4.02,4.03,3.98,2.8548169999999997,4.03,136700
2010-03-31,4.0,4.02,3.97,2.8264810000000002,3.99,76200
2010-04-01,3.98,4.1,3.98,2.876068,4.06,286300
2010-04-05,3.94,3.99,3.7,2.706054,3.82,764300
2010-04-06,3.82,4.17,3.8,2.833565,4.0,468400
2010-04-07,4.0,4.08,3.91,2.840649,4.01,160900
2010-04-08,3.95,4.02,3.95,2.8264810000000002,3.99,121900
2010-04-09,4.0,4.0,3.92,2.776894,3.92,168400
2010-04-12,3.91,4.02,3.91,2.805229,3.96,247200
2010-04-13,3.93,4.0,3.92,2.833565,4.0,141900
2010-04-14,4.0,4.1,3.98,2.897321,4.09,173800
2010-04-15,4.05,4.1,4.01,2.861901,4.04,91600
2010-04-16,4.0,4.03,3.91,2.783977,3.93,250900
2010-04-19,3.93,3.93,3.75,2.6918860000000002,3.8,393400
2010-04-20,3.8,3.93,3.76,2.706054,3.82,191000
2010-04-21,3.85,3.88,3.79,2.69897,3.81,241600
2010-04-22,3.82,3.83,3.65,2.585628,3.65,335500
2010-04-23,3.67,3.78,3.67,2.670634,3.77,223800
2010-04-26,3.81,3.9,3.68,2.663551,3.76,335300
2010-04-27,3.71,3.8,3.61,2.578544,3.64,321200
2010-04-28,3.64,3.68,3.63,2.578544,3.64,139200
2010-04-29,3.72,3.75,3.64,2.613963,3.69,128600
2010-04-30,3.7,3.72,3.6,2.550208,3.6,162300
2010-05-03,3.65,3.65,3.45,2.486454,3.51,396000
2010-05-04,3.51,3.53,3.35,2.394362,3.38,349000
2010-05-05,3.4,3.4,3.21,2.288104,3.23,373700
2010-05-06,3.25,3.25,2.91,2.146425,3.03,570200
2010-05-07,3.01,3.1,2.91,2.089755,2.95,377300
2010-05-10,3.15,3.21,2.99,2.153509,3.04,514200
2010-05-11,2.95,2.99,2.83,2.054335,2.9,569800
2010-05-12,2.89,3.05,2.88,2.089755,2.95,505000
2010-05-13,2.95,2.99,2.77,1.990579,2.81,694600
2010-05-14,2.72,2.75,2.56,1.884321,2.66,786800
2010-05-17,2.68,2.69,2.55,1.841816,2.6,496600
2010-05-18,2.68,2.74,2.57,1.8347330000000002,2.59,464900
2010-05-19,2.56,2.64,2.38,1.6859709999999999,2.38,808200
2010-05-20,2.32,2.73,2.23,1.6788869999999998,2.37,671200
2010-05-21,2.38,2.49,2.26,1.6859709999999999,2.38,478800
2010-05-24,2.44,2.71,2.44,1.8630689999999999,2.63,622100
2010-05-25,2.6,2.65,2.48,1.8772369999999998,2.65,406400
2010-05-26,2.66,2.85,2.65,1.948076,2.75,662300
2010-05-27,2.87,2.91,2.81,2.011831,2.84,358900
2010-05-28,2.96,3.39,2.96,2.259768,3.19,1367000
2010-06-01,3.13,3.2,2.9,2.068502,2.92,849800
2010-06-02,2.98,3.12,2.9,2.118089,2.99,400500
2010-06-03,3.0,3.09,2.91,2.1039220000000003,2.97,162700
2010-06-04,2.9,3.0,2.85,2.089755,2.95,412600
2010-06-07,3.0,3.0,2.69,1.933909,2.73,408200
2010-06-08,2.79,2.79,2.53,1.841816,2.6,332000
2010-06-09,2.62,2.73,2.57,1.841816,2.6,261500
2010-06-10,2.63,2.8,2.63,1.969328,2.78,304200
2010-06-11,2.79,2.95,2.75,1.990579,2.81,255400
2010-06-14,2.9,2.95,2.59,1.8559849999999998,2.62,2671400
