Date,Open,High,Low,Close,Adj Close,Volume
2017-04-13,14.0,14.25,13.19,13.41,13.41,11336164
2017-04-17,13.41,14.1,13.3,13.55,13.55,2259700
2017-04-18,13.48,14.08,13.215,14.01,14.01,998200
2017-04-19,14.0,14.25,13.8,14.04,14.04,844200
2017-04-20,14.15,14.159,13.74,13.81,13.81,1156200
2017-04-21,13.8,13.92,13.41,13.44,13.44,463400
2017-04-24,13.54,13.81,13.54,13.74,13.74,511000
2017-04-25,13.8,13.837,13.66,13.72,13.72,185900
2017-04-26,13.83,13.909,13.65,13.81,13.81,120300
2017-04-27,13.87,14.84,13.86,14.63,14.63,826900
2017-04-28,14.72,15.1,14.5,14.84,14.84,398200
2017-05-01,15.03,15.11,14.58,14.63,14.63,323300
2017-05-02,14.65,14.725,14.12,14.23,14.23,243700
2017-05-03,14.08,14.18,13.67,13.92,13.92,1095900
2017-05-04,13.93,14.129,13.552,13.83,13.83,126600
2017-05-05,13.81,13.91,13.55,13.91,13.91,171400
2017-05-08,13.85,14.137,13.65,13.9,13.9,420100
2017-05-09,13.88,13.95,13.71,13.9,13.9,139600
2017-05-10,13.87,14.16,13.85,14.03,14.03,128700
2017-05-11,14.03,14.15,13.747,13.92,13.92,196000
2017-05-12,13.89,14.0,13.56,13.73,13.73,388400
2017-05-15,13.77,14.17,13.54,13.63,13.63,110000
2017-05-16,13.7,13.84,12.91,13.18,13.18,463800
2017-05-17,12.85,13.37,12.82,13.27,13.27,152600
2017-05-18,13.23,13.26,13.0,13.22,13.22,46200
2017-05-19,13.29,13.35,13.01,13.27,13.27,115800
2017-05-22,13.32,13.48,13.15,13.29,13.29,144900
2017-05-23,13.32,13.47,13.2,13.3,13.3,52700
2017-05-24,13.34,13.41,13.17,13.21,13.21,143500
2017-05-25,13.16,13.3,13.09,13.15,13.15,282700
2017-05-26,13.13,13.8,13.0,13.75,13.75,516100
2017-05-30,14.0,14.32,13.51,14.07,14.07,448200
2017-05-31,14.11,14.97,13.75,14.74,14.74,152300
2017-06-01,14.83,14.94,14.4,14.79,14.79,455900
2017-06-02,13.9,14.428,12.5,13.03,13.03,1114400
2017-06-05,13.0,13.31,12.46,12.6,12.6,760100
2017-06-06,12.79,13.07,12.55,12.92,12.92,404500
2017-06-07,12.97,13.06,12.57,12.64,12.64,765000
2017-06-08,12.69,12.868,12.32,12.58,12.58,229400
2017-06-09,12.59,12.95,12.17,12.21,12.21,292100
2017-06-12,12.19,12.33,12.05,12.31,12.31,162400
2017-06-13,12.33,12.6,12.3,12.57,12.57,140700
2017-06-14,12.65,13.0,12.47,12.97,12.97,240500
2017-06-15,12.89,13.5,12.43,13.01,13.01,546400
2017-06-16,12.74,13.39,12.71,13.37,13.37,773900
2017-06-19,13.29,13.55,13.15,13.51,13.51,247600
2017-06-20,13.52,13.54,12.73,13.12,13.12,269200
2017-06-21,13.27,13.27,12.85,13.08,13.08,325400
2017-06-22,13.1,13.41,12.99,13.24,13.24,676700
2017-06-23,13.24,13.47,13.1,13.23,13.23,1666800
2017-06-26,13.3,13.45,13.17,13.2,13.2,144600
2017-06-27,13.16,13.207,12.99,13.01,13.01,124700
2017-06-28,13.0,13.38,12.97,13.24,13.24,92500
2017-06-29,13.16,13.22,13.0,13.09,13.09,105900
2017-06-30,13.13,13.36,13.04,13.33,13.33,122800
2017-07-03,13.42,13.42,12.88,13.02,13.02,101700
2017-07-05,12.25,12.61,11.86,12.29,12.29,86100
2017-07-06,12.17,12.217,11.63,11.67,11.67,62100
2017-07-07,12.99,13.235,12.97,13.18,13.18,65200
2017-07-10,13.2,13.22,12.93,12.99,12.99,83700
2017-07-11,12.97,13.125,12.95,13.05,13.05,86700
2017-07-12,13.06,13.39,13.06,13.32,13.32,210800
2017-07-13,13.27,13.75,13.27,13.53,13.53,172700
2017-07-14,13.53,13.91,13.49,13.78,13.78,147000
