Date,Open,High,Low,Close,Adj Close,Volume
2015-12-18,10.0,10.39,8.35,9.1,9.1,5366800
2015-12-21,9.3,9.49,9.1,9.31,9.31,471000
2015-12-22,9.45,9.6,9.23,9.6,9.6,192900
2015-12-23,9.52,9.6,9.35,9.45,9.45,137600
2015-12-24,9.55,9.59,9.35,9.5,9.5,61700
2015-12-28,9.41,9.98,9.41,9.95,9.95,336200
2015-12-29,9.9,10.28,9.81,9.85,9.85,556900
2015-12-30,9.82,9.82,9.29,9.53,9.53,199900
2015-12-31,9.5,9.76,9.33,9.45,9.45,304500
2016-01-04,9.28,9.49,8.9,8.96,8.96,402600
2016-01-05,9.01,9.32,8.3,8.43,8.43,393800
2016-01-06,8.48,8.8,8.35,8.44,8.44,662700
2016-01-07,8.36,8.4,7.5,7.64,7.64,1022600
2016-01-08,7.8,8.0,6.62,7.38,7.38,697800
2016-01-11,7.41,7.41,6.6,6.6,6.6,574200
2016-01-12,6.7,7.15,6.7,7.09,7.09,244200
2016-01-13,7.08,7.25,6.9,6.98,6.98,155400
2016-01-14,7.24,7.5,6.887,7.41,7.41,154800
2016-01-15,7.13,7.49,6.34,7.48,7.48,189700
2016-01-19,7.4,7.5,7.21,7.39,7.39,62300
2016-01-20,7.2,7.3,6.6,7.06,7.06,146000
2016-01-21,7.06,7.06,6.84,7.0,7.0,78100
2016-01-22,7.12,7.15,7.019,7.07,7.07,38500
2016-01-25,7.109,7.11,6.93,7.0,7.0,72300
2016-01-26,6.95,7.0,6.62,6.86,6.86,118900
2016-01-27,6.98,6.98,6.77,6.93,6.93,64600
2016-01-28,6.96,6.97,6.76,6.78,6.78,70500
2016-01-29,6.8,6.94,6.73,6.82,6.82,47300
2016-02-01,6.8,6.88,6.11,6.15,6.15,334300
2016-02-02,6.16,6.28,4.7,4.88,4.88,626800
2016-02-03,5.33,5.33,4.66,4.84,4.84,828600
2016-02-04,4.88,5.05,4.6,4.7,4.7,531900
2016-02-05,4.7,4.7,4.3,4.36,4.36,188000
2016-02-08,4.2,4.645,4.02,4.11,4.11,223400
2016-02-09,4.03,4.11,3.71,3.83,3.83,478200
2016-02-10,3.81,4.0,3.74,3.76,3.76,169000
2016-02-11,3.71,3.71,3.4,3.56,3.56,400700
2016-02-12,3.62,3.75,3.35,3.68,3.68,347100
2016-02-16,3.9,4.56,3.8,4.32,4.32,436900
2016-02-17,4.49,4.79,4.23,4.26,4.26,514000
2016-02-18,4.26,4.49,4.01,4.42,4.42,594000
2016-02-19,4.49,4.87,4.34,4.8,4.8,528000
2016-02-22,4.94,5.75,4.865,5.53,5.53,466200
2016-02-23,5.48,5.89,5.45,5.72,5.72,355400
2016-02-24,5.51,5.6,5.27,5.5,5.5,283600
2016-02-25,5.38,5.84,5.19,5.84,5.84,269300
2016-02-26,5.85,6.28,5.833,6.18,6.18,364600
2016-02-29,6.18,6.25,5.825,5.95,5.95,131100
2016-03-01,6.04,6.07,5.81,5.9,5.9,53300
2016-03-02,6.0,6.04,5.91,5.99,5.99,66100
2016-03-03,6.0,6.0,5.86,5.98,5.98,93000
2016-03-04,5.94,5.98,5.334,5.37,5.37,155100
2016-03-07,5.43,5.68,5.38,5.5,5.5,272200
2016-03-08,5.43,5.89,5.43,5.83,5.83,243100
2016-03-09,5.86,6.3,5.625,6.24,6.24,591900
2016-03-10,6.3,8.48,6.24,7.95,7.95,1706300
2016-03-11,8.03,8.44,7.62,8.09,8.09,665200
2016-03-14,8.02,8.14,7.5,7.7,7.7,475800
2016-03-15,7.75,7.99,7.409,7.5,7.5,244500
2016-03-16,7.63,7.708,7.28,7.38,7.38,168600
2016-03-17,7.25,7.87,7.25,7.7,7.7,316900
2016-03-18,7.77,8.94,7.7,8.65,8.65,669000
2016-03-21,8.65,10.04,8.65,9.3,9.3,1235800
2016-03-22,9.2,9.68,8.7,9.57,9.57,447500
2016-03-23,9.65,9.7,8.9,9.16,9.16,290900
2016-03-24,8.78,9.8,8.62,9.59,9.59,415500
2016-03-28,9.51,9.99,9.453,9.96,9.96,329600
2016-03-29,9.9,9.99,9.63,9.99,9.99,328000
2016-03-30,9.98,11.98,9.96,11.85,11.85,1511500
2016-03-31,11.9,11.9,11.226,11.64,11.64,397200
2016-04-01,11.32,12.98,11.11,12.81,12.81,664600
2016-04-04,12.87,14.5,12.75,14.12,14.12,1081100
