Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,13.36,13.64,13.36,5.914619,13.52,93200
2010-01-05,13.28,13.44,13.2,6.031651,13.4,103200
2010-01-06,13.36,13.56,13.36,6.067661,13.48,91300
2010-01-07,13.4,13.56,13.4,6.10367,13.56,72500
2010-01-08,13.6,13.6,13.44,6.067661,13.48,133600
2010-01-11,13.64,13.68,13.48,6.10367,13.56,84500
2010-01-12,13.52,13.56,13.36,6.0496550000000004,13.44,95600
2010-01-13,13.44,13.52,13.16,6.0496550000000004,13.44,92800
2010-01-14,13.48,13.6,13.4,6.0496550000000004,13.44,31500
2010-01-15,13.44,13.48,13.32,6.0136449999999995,13.36,32300
2010-01-19,13.2,13.56,13.2,6.085666000000001,13.52,48100
2010-01-20,13.48,13.48,13.28,5.995638,13.32,33100
2010-01-21,13.32,13.44,13.12,5.977635,13.28,47500
2010-01-22,13.24,13.24,12.88,5.869606,13.04,92100
2010-01-25,13.0,13.08,12.88,5.797587,12.88,77700
2010-01-26,13.08,13.08,12.8,5.797587,12.88,89300
2010-01-27,12.88,12.92,12.6,5.743572,12.76,74600
2010-01-28,12.84,12.84,12.56,5.6535470000000005,12.56,102800
2010-01-29,12.76,12.8,12.48,5.617536,12.48,106700
2010-02-01,12.28,12.68,12.08,5.707562,12.68,68000
2010-02-02,12.72,12.92,12.68,5.815591,12.92,62600
2010-02-03,12.96,12.96,12.8,5.815591,12.92,36900
2010-02-04,12.88,12.88,12.6,5.707562,12.68,49400
2010-02-05,12.8,12.8,12.28,5.635543,12.52,107600
2010-02-08,12.44,12.56,12.4,5.581528,12.4,84500
2010-02-09,12.52,12.6,12.4,5.617536,12.48,64400
2010-02-10,12.52,12.6,12.48,5.6535470000000005,12.56,21200
2010-02-11,12.48,12.72,12.48,5.689556,12.64,22000
2010-02-12,12.64,12.68,12.52,5.671553,12.6,34200
2010-02-16,12.6,12.92,12.6,5.77958,12.84,53200
2010-02-17,12.16,13.0,12.16,5.77958,12.84,60900
2010-02-18,12.84,12.96,12.8,5.797587,12.88,65500
2010-02-19,12.88,13.04,12.88,5.815591,12.92,61200
2010-02-22,13.0,13.08,12.92,5.815591,12.92,111100
2010-02-23,12.96,13.0,12.8,5.77958,12.84,63700
2010-02-24,13.32,13.52,12.88,5.833597,12.96,72800
2010-02-25,12.88,13.0,12.76,5.851602,13.0,42200
2010-02-26,13.04,13.12,12.92,5.905616,13.12,46900
2010-03-01,13.04,13.24,13.04,5.941626,13.2,63800
2010-03-02,13.24,13.32,13.2,5.995638,13.32,47100
2010-03-03,13.24,13.32,13.2,5.977635,13.28,46600
2010-03-04,13.28,13.32,13.24,5.995638,13.32,49200
2010-03-05,13.36,13.48,13.32,6.0136449999999995,13.36,84400
2010-03-08,13.44,13.6,13.4,6.121675,13.6,40300
2010-03-09,13.48,13.6,13.44,6.10367,13.56,53200
2010-03-10,13.52,13.56,13.36,6.067661,13.48,86400
2010-03-11,13.48,13.56,13.44,6.085666000000001,13.52,30800
2010-03-12,13.44,13.6,13.44,6.067661,13.48,44400
2010-03-15,13.56,13.64,13.48,6.139679,13.64,58200
2010-03-16,13.64,13.96,13.64,6.265715,13.92,103200
2010-03-17,14.16,14.16,13.88,6.35574,14.12,149400
2010-03-18,14.16,14.24,14.08,6.391749,14.2,133900
2010-03-19,13.88,14.16,13.84,6.24771,13.88,101200
2010-03-22,13.76,13.92,13.76,6.24771,13.88,64200
2010-03-23,14.0,14.0,13.8,6.211701000000001,13.8,92600
2010-03-24,13.8,14.08,13.8,6.337733999999999,14.08,73700
2010-03-25,14.08,14.2,13.96,6.301725,14.0,122300
2010-03-26,13.68,14.2,13.68,6.301725,14.0,106700
2010-03-29,14.04,14.12,14.0,6.337733999999999,14.08,80800
2010-03-30,14.08,14.2,14.04,6.391749,14.2,67100
2010-03-31,14.12,14.2,14.04,6.35574,14.12,91900
2010-04-01,14.2,14.32,14.2,6.4457629999999995,14.32,147000
2010-04-05,14.4,14.44,14.2,6.463767,14.36,139200
2010-04-06,14.12,14.12,13.92,6.474868,14.0,101400
2010-04-07,14.04,14.04,13.72,6.363872,13.76,98900
2010-04-08,13.76,13.88,13.68,6.382371,13.8,70000
2010-04-09,13.72,13.84,13.68,6.363872,13.76,102600
2010-04-12,13.72,13.96,13.72,6.363872,13.76,104800
2010-04-13,13.84,13.96,13.76,6.382371,13.8,103000
2010-04-14,13.92,13.92,13.76,6.400869999999999,13.84,92600
2010-04-15,13.92,13.92,13.76,6.400869999999999,13.84,123500
2010-04-16,13.84,13.88,13.52,6.363872,13.76,92700
2010-04-19,13.68,13.72,13.56,6.326873,13.68,48300
2010-04-20,13.64,13.84,13.64,6.382371,13.8,88600
2010-04-21,13.88,13.96,13.72,6.345372,13.72,120800
2010-04-22,13.72,13.88,13.52,6.41937,13.88,95600
2010-04-23,13.88,13.96,13.76,6.41937,13.88,107000
2010-04-26,13.96,13.96,13.8,6.382371,13.8,107600
2010-04-27,13.88,13.92,13.48,6.289872,13.6,145800
2010-04-28,13.68,13.72,13.48,6.252875,13.52,127800
2010-04-29,13.6,13.68,13.52,6.289872,13.6,77900
2010-04-30,13.56,13.64,13.52,6.289872,13.6,57200
2010-05-03,13.52,13.72,13.52,6.326873,13.68,70400
